timestamp,open,high,low,close,volume
2026-01-29 10:00:00,2937.64,2941.61,2936.7,2939.47,132.6918
2026-01-29 10:15:00,2939.44,2944.0,2939.44,2943.3,61.5057
2026-01-29 10:30:00,2943.16,2943.97,2940.7,2941.66,80.5257
2026-01-29 10:45:00,2941.66,2943.72,2937.49,2939.55,78.4164
2026-01-29 11:00:00,2939.41,2939.91,2921.42,2935.6,495.0171
2026-01-29 11:15:00,2935.64,2935.64,2919.01,2920.06,360.254
2026-01-29 11:30:00,2919.47,2925.64,2919.06,2922.73,194.6118
2026-01-29 11:45:00,2922.91,2928.99,2921.2,2924.17,226.5346
2026-01-29 12:00:00,2924.18,2928.98,2924.05,2928.03,256.9484
2026-01-29 12:15:00,2927.75,2928.81,2925.1,2926.17,98.3451
2026-01-29 12:30:00,2926.17,2933.61,2921.13,2927.23,229.5158
2026-01-29 12:45:00,2927.23,2931.54,2926.88,2931.54,80.0782
2026-01-29 13:00:00,2931.57,2933.85,2929.12,2929.7,89.2416
2026-01-29 13:15:00,2929.76,2932.42,2929.0,2932.41,42.1365
2026-01-29 13:30:00,2932.67,2933.53,2930.7,2931.63,62.7383
2026-01-29 13:45:00,2931.46,2932.15,2926.78,2930.74,85.4889
2026-01-29 14:00:00,2930.74,2931.47,2926.69,2927.16,156.3191
2026-01-29 14:15:00,2927.22,2929.22,2913.0,2913.84,342.6498
2026-01-29 14:30:00,2913.4,2919.35,2900.43,2904.73,920.1678
2026-01-29 14:45:00,2904.73,2909.33,2871.58,2871.58,1625.5869
2026-01-29 15:00:00,2871.44,2872.53,2808.0,2808.0,5673.5274
2026-01-29 15:15:00,2808.0,2835.79,2800.76,2832.16,1506.1531
2026-01-29 15:30:00,2831.05,2838.0,2792.06,2795.96,1688.7023
2026-01-29 15:45:00,2797.26,2829.19,2796.89,2819.13,1483.7376
2026-01-29 16:00:00,2819.39,2821.04,2796.99,2813.71,1052.7302
2026-01-29 16:15:00,2813.71,2821.25,2803.86,2807.53,686.4191
2026-01-29 16:30:00,2807.07,2815.12,2805.0,2808.16,815.9655
2026-01-29 16:45:00,2808.16,2832.0,2805.96,2830.52,1080.6785
2026-01-29 17:00:00,2830.36,2844.22,2829.22,2836.64,939.4223
2026-01-29 17:15:00,2836.67,2855.25,2832.49,2835.88,670.5673
2026-01-29 17:30:00,2835.69,2843.46,2823.52,2828.39,318.0093
2026-01-29 17:45:00,2828.65,2829.94,2814.21,2818.83,868.2112
2026-01-29 18:00:00,2819.4,2829.81,2818.54,2822.86,479.8448
2026-01-29 18:15:00,2822.67,2823.86,2796.73,2799.5,1438.2286
2026-01-29 18:30:00,2798.31,2807.39,2767.99,2799.84,1806.8019
2026-01-29 18:45:00,2799.31,2799.31,2749.75,2758.94,1849.8138
2026-01-29 19:00:00,2758.82,2770.55,2753.36,2770.55,711.775
2026-01-29 19:15:00,2771.79,2783.24,2764.86,2776.1,572.3693
2026-01-29 19:30:00,2776.09,2806.62,2775.58,2795.55,1057.7081
2026-01-29 19:45:00,2795.54,2799.12,2789.02,2792.19,204.2881
2026-01-29 20:00:00,2792.3,2794.73,2784.19,2785.79,373.0213
2026-01-29 20:15:00,2785.92,2798.0,2785.92,2790.59,202.8556
2026-01-29 20:30:00,2790.6,2795.38,2783.9,2792.6,192.8974
2026-01-29 20:45:00,2792.6,2807.0,2790.35,2800.1,252.5478
2026-01-29 21:00:00,2800.49,2814.08,2799.79,2813.22,284.6808
2026-01-29 21:15:00,2812.85,2812.85,2804.62,2809.49,77.0666
2026-01-29 21:30:00,2809.53,2814.02,2806.43,2810.84,93.1192
2026-01-29 21:45:00,2810.89,2819.79,2810.89,2814.11,150.8988
2026-01-29 22:00:00,2814.46,2819.79,2805.35,2807.53,149.3863
2026-01-29 22:15:00,2808.14,2810.07,2806.7,2809.47,128.038
2026-01-29 22:30:00,2809.55,2812.63,2806.32,2809.91,79.9238
2026-01-29 22:45:00,2809.81,2816.0,2809.81,2814.68,38.4885
2026-01-29 23:00:00,2814.68,2818.67,2807.77,2809.94,92.8293
2026-01-29 23:15:00,2809.82,2818.95,2809.28,2814.37,152.0082
2026-01-29 23:30:00,2814.93,2822.35,2814.93,2820.14,103.3934
2026-01-29 23:45:00,2819.89,2821.26,2817.4,2817.44,88.1551
2026-01-30 00:00:00,2817.44,2823.15,2815.28,2815.28,91.8983
2026-01-30 00:15:00,2815.28,2815.7,2797.77,2801.89,194.0817
2026-01-30 00:30:00,2801.89,2809.82,2797.53,2807.96,135.8448
2026-01-30 00:45:00,2807.69,2811.73,2799.46,2800.03,158.8288
2026-01-30 01:00:00,2799.87,2807.49,2796.82,2805.89,429.5382
2026-01-30 01:15:00,2805.72,2808.0,2784.95,2795.59,406.7309
2026-01-30 01:30:00,2795.13,2803.41,2675.63,2719.13,3652.4399
2026-01-30 01:45:00,2719.72,2746.69,2711.09,2741.91,1525.7039
2026-01-30 02:00:00,2742.11,2746.07,2723.74,2724.87,661.6731
2026-01-30 02:15:00,2725.04,2731.16,2694.64,2709.92,1196.2048
2026-01-30 02:30:00,2710.39,2730.87,2699.52,2727.14,633.9515
