2026-04-02 15:12:52 | INFO     | backpack_quant_trading.api.routers.trading:342 | [DEBUG] 实例 hype_175606_298087: is_enabled=True, position=None
2026-04-02 15:12:55 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"902.6707","n":1034}}' [161 bytes]
2026-04-02 15:12:56 | DEBUG    | websockets.client:1270 | % sending keepalive ping
2026-04-02 15:12:56 | DEBUG    | websockets.client:1183 | > PING e7 0b 14 16 [binary, 4 bytes]
2026-04-02 15:12:56 | DEBUG    | websockets.client:1177 | < PONG e7 0b 14 16 [binary, 4 bytes]
2026-04-02 15:12:56 | DEBUG    | websockets.client:1280 | % received keepalive pong
2026-04-02 15:12:57 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"902.7109","n":1035}}' [161 bytes]
2026-04-02 15:12:58 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"903.0565","n":1036}}' [161 bytes]
2026-04-02 15:13:00 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"903.1085","n":1037}}' [161 bytes]
2026-04-02 15:13:01 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"903.1543","n":1038}}' [161 bytes]
2026-04-02 15:13:02 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"904.7481","n":1041}}' [161 bytes]
2026-04-02 15:13:02 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"904.8005","n":1043}}' [161 bytes]
2026-04-02 15:13:03 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"904.8592","n":1045}}' [161 bytes]
2026-04-02 15:13:03 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"904.8994","n":1046}}' [161 bytes]
2026-04-02 15:13:04 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...v":"905.245","n":1047}}' [160 bytes]
2026-04-02 15:13:05 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"905.2524","n":1048}}' [161 bytes]
2026-04-02 15:13:08 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"905.2982","n":1049}}' [161 bytes]
2026-04-02 15:13:10 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"905.3189","n":1050}}' [161 bytes]
2026-04-02 15:13:10 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"905.3305","n":1052}}' [161 bytes]
2026-04-02 15:13:11 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"905.5033","n":1054}}' [161 bytes]
2026-04-02 15:13:11 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"905.5668","n":1056}}' [161 bytes]
2026-04-02 15:13:12 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"905.8183","n":1057}}' [161 bytes]
2026-04-02 15:13:14 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"905.8646","n":1058}}' [161 bytes]
2026-04-02 15:13:16 | DEBUG    | websockets.client:1270 | % sending keepalive ping
2026-04-02 15:13:16 | DEBUG    | websockets.client:1183 | > PING da 6f b7 47 [binary, 4 bytes]
2026-04-02 15:13:16 | DEBUG    | websockets.client:1177 | < PONG da 6f b7 47 [binary, 4 bytes]
2026-04-02 15:13:16 | DEBUG    | websockets.client:1280 | % received keepalive pong
2026-04-02 15:13:17 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"905.8706","n":1059}}' [161 bytes]
2026-04-02 15:13:17 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"906.4373","n":1060}}' [161 bytes]
2026-04-02 15:13:18 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"906.4474","n":1061}}' [161 bytes]
2026-04-02 15:13:19 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"906.4594","n":1063}}' [161 bytes]
2026-04-02 15:13:20 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"906.4806","n":1064}}' [161 bytes]
2026-04-02 15:13:20 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"906.4954","n":1066}}' [161 bytes]
2026-04-02 15:13:21 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"906.5011","n":1067}}' [161 bytes]
2026-04-02 15:13:22 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...v":"910.719","n":1070}}' [160 bytes]
2026-04-02 15:13:25 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"911.3652","n":1071}}' [161 bytes]
2026-04-02 15:13:28 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"918.5403","n":1075}}' [161 bytes]
2026-04-02 15:13:30 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"918.5924","n":1076}}' [161 bytes]
2026-04-02 15:13:31 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...v":"918.629","n":1077}}' [160 bytes]
2026-04-02 15:13:36 | DEBUG    | websockets.client:1270 | % sending keepalive ping
2026-04-02 15:13:36 | DEBUG    | websockets.client:1183 | > PING '-R\x17N' [text, 4 bytes]
2026-04-02 15:13:36 | DEBUG    | websockets.client:1177 | < PONG '-R\x17N' [text, 4 bytes]
2026-04-02 15:13:36 | DEBUG    | websockets.client:1280 | % received keepalive pong
2026-04-02 15:13:37 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"923.2291","n":1080}}' [161 bytes]
2026-04-02 15:13:42 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"923.4807","n":1081}}' [161 bytes]
2026-04-02 15:13:43 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...v":"923.674","n":1082}}' [160 bytes]
2026-04-02 15:13:44 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"923.7037","n":1083}}' [161 bytes]
2026-04-02 15:13:46 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"923.7246","n":1084}}' [161 bytes]
2026-04-02 15:13:46 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"923.7317","n":1085}}' [161 bytes]
2026-04-02 15:13:47 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"923.7377","n":1086}}' [161 bytes]
2026-04-02 15:13:48 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"923.7456","n":1087}}' [161 bytes]
2026-04-02 15:13:49 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"923.7516","n":1088}}' [161 bytes]
2026-04-02 15:13:49 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"923.7573","n":1089}}' [161 bytes]
2026-04-02 15:13:51 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"923.7629","n":1090}}' [161 bytes]
2026-04-02 15:13:51 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"923.7894","n":1091}}' [161 bytes]
2026-04-02 15:13:52 | INFO     | backpack_quant_trading.api.routers.trading:334 | [DEBUG] HYPE_STRATEGY_INSTANCES 数量: 1
2026-04-02 15:13:52 | INFO     | backpack_quant_trading.api.routers.trading:335 | [DEBUG] HYPE_STRATEGY_INSTANCES keys: ['hype_175606_298087']
2026-04-02 15:13:52 | INFO     | backpack_quant_trading.api.routers.trading:342 | [DEBUG] 实例 hype_175606_298087: is_enabled=True, position=None
2026-04-02 15:13:52 | INFO     | backpack_quant_trading.api.routers.trading:334 | [DEBUG] HYPE_STRATEGY_INSTANCES 数量: 1
2026-04-02 15:13:52 | INFO     | backpack_quant_trading.api.routers.trading:335 | [DEBUG] HYPE_STRATEGY_INSTANCES keys: ['hype_175606_298087']
2026-04-02 15:13:52 | INFO     | backpack_quant_trading.api.routers.trading:342 | [DEBUG] 实例 hype_175606_298087: is_enabled=True, position=None
2026-04-02 15:13:55 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"924.3419","n":1092}}' [161 bytes]
2026-04-02 15:13:56 | DEBUG    | websockets.client:1270 | % sending keepalive ping
2026-04-02 15:13:56 | DEBUG    | websockets.client:1183 | > PING 6e f3 ad a4 [binary, 4 bytes]
2026-04-02 15:13:57 | DEBUG    | websockets.client:1177 | < PONG 6e f3 ad a4 [binary, 4 bytes]
2026-04-02 15:13:57 | DEBUG    | websockets.client:1280 | % received keepalive pong
2026-04-02 15:13:59 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...v":"924.544","n":1093}}' [160 bytes]
2026-04-02 15:14:00 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"924.5961","n":1094}}' [161 bytes]
2026-04-02 15:14:01 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"928.3939","n":1096}}' [161 bytes]
2026-04-02 15:14:04 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"928.4135","n":1097}}' [161 bytes]
2026-04-02 15:14:05 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"928.9344","n":1098}}' [161 bytes]
2026-04-02 15:14:12 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"929.1859","n":1099}}' [161 bytes]
2026-04-02 15:14:13 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"929.2348","n":1101}}' [161 bytes]
2026-04-02 15:14:14 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"929.3106","n":1103}}' [161 bytes]
2026-04-02 15:14:16 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"929.3405","n":1104}}' [161 bytes]
2026-04-02 15:14:17 | DEBUG    | websockets.client:1270 | % sending keepalive ping
2026-04-02 15:14:17 | DEBUG    | websockets.client:1183 | > PING 19 01 7b c2 [binary, 4 bytes]
2026-04-02 15:14:17 | DEBUG    | websockets.client:1177 | < PONG 19 01 7b c2 [binary, 4 bytes]
2026-04-02 15:14:17 | DEBUG    | websockets.client:1280 | % received keepalive pong
2026-04-02 15:14:17 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"929.3465","n":1105}}' [161 bytes]
2026-04-02 15:14:18 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"929.3522","n":1106}}' [161 bytes]
2026-04-02 15:14:19 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"929.3653","n":1107}}' [161 bytes]
2026-04-02 15:14:19 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"929.3773","n":1109}}' [161 bytes]
2026-04-02 15:14:21 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"929.3829","n":1110}}' [161 bytes]
2026-04-02 15:14:21 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"929.6274","n":1111}}' [161 bytes]
2026-04-02 15:14:24 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"929.6412","n":1112}}' [161 bytes]
2026-04-02 15:14:25 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"930.0217","n":1113}}' [161 bytes]
2026-04-02 15:14:30 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"937.5658","n":1119}}' [161 bytes]
2026-04-02 15:14:37 | DEBUG    | websockets.client:1270 | % sending keepalive ping
2026-04-02 15:14:37 | DEBUG    | websockets.client:1183 | > PING c6 78 46 c5 [binary, 4 bytes]
2026-04-02 15:14:37 | DEBUG    | websockets.client:1177 | < PONG c6 78 46 c5 [binary, 4 bytes]
2026-04-02 15:14:37 | DEBUG    | websockets.client:1280 | % received keepalive pong
2026-04-02 15:14:40 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"937.5707","n":1120}}' [161 bytes]
2026-04-02 15:14:42 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"937.8223","n":1121}}' [161 bytes]
2026-04-02 15:14:46 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"937.8321","n":1122}}' [161 bytes]
2026-04-02 15:14:47 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"955.1879","n":1124}}' [161 bytes]
2026-04-02 15:14:47 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"987.8321","n":1128}}' [161 bytes]
2026-04-02 15:14:48 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...v":"987.841","n":1129}}' [160 bytes]
2026-04-02 15:14:49 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"987.9529","n":1132}}' [161 bytes]
2026-04-02 15:14:51 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"987.9703","n":1135}}' [161 bytes]
2026-04-02 15:14:51 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"987.9868","n":1136}}' [161 bytes]
2026-04-02 15:14:52 | INFO     | backpack_quant_trading.api.routers.trading:334 | [DEBUG] HYPE_STRATEGY_INSTANCES 数量: 1
2026-04-02 15:14:52 | INFO     | backpack_quant_trading.api.routers.trading:335 | [DEBUG] HYPE_STRATEGY_INSTANCES keys: ['hype_175606_298087']
2026-04-02 15:14:52 | INFO     | backpack_quant_trading.api.routers.trading:342 | [DEBUG] 实例 hype_175606_298087: is_enabled=True, position=None
2026-04-02 15:14:52 | INFO     | backpack_quant_trading.api.routers.trading:334 | [DEBUG] HYPE_STRATEGY_INSTANCES 数量: 1
2026-04-02 15:14:52 | INFO     | backpack_quant_trading.api.routers.trading:335 | [DEBUG] HYPE_STRATEGY_INSTANCES keys: ['hype_175606_298087']
2026-04-02 15:14:52 | INFO     | backpack_quant_trading.api.routers.trading:342 | [DEBUG] 实例 hype_175606_298087: is_enabled=True, position=None
2026-04-02 15:14:52 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"988.0352","n":1137}}' [161 bytes]
2026-04-02 15:14:53 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"988.2353","n":1138}}' [161 bytes]
2026-04-02 15:14:55 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"988.8503","n":1139}}' [161 bytes]
2026-04-02 15:14:57 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"988.8651","n":1141}}' [161 bytes]
2026-04-02 15:14:57 | DEBUG    | websockets.client:1270 | % sending keepalive ping
2026-04-02 15:14:57 | DEBUG    | websockets.client:1183 | > PING '@M\rZ' [text, 4 bytes]
2026-04-02 15:14:57 | DEBUG    | websockets.client:1177 | < PONG '@M\rZ' [text, 4 bytes]
2026-04-02 15:14:57 | DEBUG    | websockets.client:1280 | % received keepalive pong
2026-04-02 15:15:00 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775114100000,"...2","v":"0.0521","n":1}}' [156 bytes]
2026-04-02 15:15:00 | INFO     | backpack_quant_trading.strategy.hype_adaptive_short:417 | 📊 [15m 关闭] 收盘:2044.2000 | 缓存:586根 | 持仓:无
2026-04-02 15:15:03 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775114100000,"...1","v":"0.1119","n":3}}' [156 bytes]
2026-04-02 15:15:05 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775114100000,"...1","v":"0.1173","n":4}}' [156 bytes]
2026-04-02 15:15:06 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775114100000,"...1","v":"0.1827","n":6}}' [156 bytes]
2026-04-02 15:15:07 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775114100000,"...1","v":"0.1975","n":8}}' [156 bytes]
2026-04-02 15:15:08 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775114100000,"...1","v":"0.2499","n":9}}' [156 bytes]
2026-04-02 15:15:12 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775114100000,"...","v":"0.5015","n":10}}' [157 bytes]
2026-04-02 15:15:15 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775114100000,"...","v":"2.9936","n":11}}' [157 bytes]
2026-04-02 15:15:16 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775114100000,"...","v":"3.0465","n":12}}' [157 bytes]
2026-04-02 15:15:17 | DEBUG    | websockets.client:1270 | % sending keepalive ping
2026-04-02 15:15:17 | DEBUG    | websockets.client:1183 | > PING ba af 04 ce [binary, 4 bytes]
2026-04-02 15:15:17 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775114100000,"...","v":"3.0525","n":13}}' [157 bytes]
2026-04-02 15:15:17 | DEBUG    | websockets.client:1177 | < PONG ba af 04 ce [binary, 4 bytes]
2026-04-02 15:15:17 | DEBUG    | websockets.client:1280 | % received keepalive pong
2026-04-02 15:15:18 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775114100000,"...","v":"3.0608","n":14}}' [157 bytes]
