2026-04-16 14:20:39 | DEBUG    | matplotlib:342 | matplotlib data path: C:\Users\A1\AppData\Roaming\Python\Python313\site-packages\matplotlib\mpl-data
2026-04-16 14:20:39 | DEBUG    | matplotlib:342 | CONFIGDIR=C:\Users\A1\.matplotlib
2026-04-16 14:20:39 | DEBUG    | matplotlib:1560 | interactive is False
2026-04-16 14:20:39 | DEBUG    | matplotlib:1561 | platform is win32
2026-04-16 14:20:39 | INFO     | kline_scheduler:80 | [K线定时] 下次同步于 2026-04-17 02:00:00，等待 11.7h
2026-04-16 14:20:56 | INFO     | backpack_quant_trading.api.routers.trading:411 | [DEBUG] HYPE_STRATEGY_INSTANCES 数量: 0
2026-04-16 14:20:56 | INFO     | backpack_quant_trading.api.routers.trading:412 | [DEBUG] HYPE_STRATEGY_INSTANCES keys: []
2026-04-16 14:20:56 | INFO     | backpack_quant_trading.api.routers.trading:411 | [DEBUG] HYPE_STRATEGY_INSTANCES 数量: 0
2026-04-16 14:20:56 | INFO     | backpack_quant_trading.api.routers.trading:412 | [DEBUG] HYPE_STRATEGY_INSTANCES keys: []
2026-04-16 14:21:06 | INFO     | backpack_quant_trading.api.routers.trading:411 | [DEBUG] HYPE_STRATEGY_INSTANCES 数量: 0
2026-04-16 14:21:06 | INFO     | backpack_quant_trading.api.routers.trading:412 | [DEBUG] HYPE_STRATEGY_INSTANCES keys: []
2026-04-16 14:21:06 | INFO     | backpack_quant_trading.api.routers.trading:411 | [DEBUG] HYPE_STRATEGY_INSTANCES 数量: 0
2026-04-16 14:21:06 | INFO     | backpack_quant_trading.api.routers.trading:412 | [DEBUG] HYPE_STRATEGY_INSTANCES keys: []
2026-04-16 14:21:11 | INFO     | backpack_quant_trading.api.routers.trading:411 | [DEBUG] HYPE_STRATEGY_INSTANCES 数量: 0
2026-04-16 14:21:11 | INFO     | backpack_quant_trading.api.routers.trading:412 | [DEBUG] HYPE_STRATEGY_INSTANCES keys: []
2026-04-16 14:21:11 | INFO     | backpack_quant_trading.api.routers.trading:411 | [DEBUG] HYPE_STRATEGY_INSTANCES 数量: 0
2026-04-16 14:21:11 | INFO     | backpack_quant_trading.api.routers.trading:412 | [DEBUG] HYPE_STRATEGY_INSTANCES keys: []
2026-04-16 14:21:16 | INFO     | backpack_quant_trading.api.routers.trading:411 | [DEBUG] HYPE_STRATEGY_INSTANCES 数量: 0
2026-04-16 14:21:16 | INFO     | backpack_quant_trading.api.routers.trading:412 | [DEBUG] HYPE_STRATEGY_INSTANCES keys: []
2026-04-16 14:21:16 | INFO     | backpack_quant_trading.api.routers.trading:411 | [DEBUG] HYPE_STRATEGY_INSTANCES 数量: 0
2026-04-16 14:21:16 | INFO     | backpack_quant_trading.api.routers.trading:412 | [DEBUG] HYPE_STRATEGY_INSTANCES keys: []
2026-04-16 14:21:21 | INFO     | backpack_quant_trading.api.routers.trading:411 | [DEBUG] HYPE_STRATEGY_INSTANCES 数量: 0
2026-04-16 14:21:21 | INFO     | backpack_quant_trading.api.routers.trading:412 | [DEBUG] HYPE_STRATEGY_INSTANCES keys: []
2026-04-16 14:21:21 | INFO     | backpack_quant_trading.api.routers.trading:411 | [DEBUG] HYPE_STRATEGY_INSTANCES 数量: 0
2026-04-16 14:21:21 | INFO     | backpack_quant_trading.api.routers.trading:412 | [DEBUG] HYPE_STRATEGY_INSTANCES keys: []
2026-04-16 14:21:27 | INFO     | backpack_quant_trading.api.routers.trading:411 | [DEBUG] HYPE_STRATEGY_INSTANCES 数量: 0
2026-04-16 14:21:27 | INFO     | backpack_quant_trading.api.routers.trading:412 | [DEBUG] HYPE_STRATEGY_INSTANCES keys: []
2026-04-16 14:21:27 | INFO     | backpack_quant_trading.api.routers.trading:411 | [DEBUG] HYPE_STRATEGY_INSTANCES 数量: 0
2026-04-16 14:21:27 | INFO     | backpack_quant_trading.api.routers.trading:412 | [DEBUG] HYPE_STRATEGY_INSTANCES keys: []
2026-04-16 14:21:32 | INFO     | backpack_quant_trading.api.routers.trading:411 | [DEBUG] HYPE_STRATEGY_INSTANCES 数量: 0
2026-04-16 14:21:32 | INFO     | backpack_quant_trading.api.routers.trading:412 | [DEBUG] HYPE_STRATEGY_INSTANCES keys: []
2026-04-16 14:21:32 | INFO     | backpack_quant_trading.api.routers.trading:411 | [DEBUG] HYPE_STRATEGY_INSTANCES 数量: 0
2026-04-16 14:21:32 | INFO     | backpack_quant_trading.api.routers.trading:412 | [DEBUG] HYPE_STRATEGY_INSTANCES keys: []
2026-04-16 14:21:37 | INFO     | backpack_quant_trading.api.routers.trading:411 | [DEBUG] HYPE_STRATEGY_INSTANCES 数量: 0
2026-04-16 14:21:37 | INFO     | backpack_quant_trading.api.routers.trading:412 | [DEBUG] HYPE_STRATEGY_INSTANCES keys: []
2026-04-16 14:21:37 | INFO     | backpack_quant_trading.api.routers.trading:411 | [DEBUG] HYPE_STRATEGY_INSTANCES 数量: 0
2026-04-16 14:21:37 | INFO     | backpack_quant_trading.api.routers.trading:412 | [DEBUG] HYPE_STRATEGY_INSTANCES keys: []
2026-04-16 14:21:42 | INFO     | backpack_quant_trading.api.routers.trading:411 | [DEBUG] HYPE_STRATEGY_INSTANCES 数量: 0
2026-04-16 14:21:42 | INFO     | backpack_quant_trading.api.routers.trading:412 | [DEBUG] HYPE_STRATEGY_INSTANCES keys: []
2026-04-16 14:21:42 | INFO     | backpack_quant_trading.api.routers.trading:411 | [DEBUG] HYPE_STRATEGY_INSTANCES 数量: 0
2026-04-16 14:21:42 | INFO     | backpack_quant_trading.api.routers.trading:412 | [DEBUG] HYPE_STRATEGY_INSTANCES keys: []
2026-04-16 14:21:47 | INFO     | backpack_quant_trading.api.routers.trading:411 | [DEBUG] HYPE_STRATEGY_INSTANCES 数量: 0
2026-04-16 14:21:47 | INFO     | backpack_quant_trading.api.routers.trading:412 | [DEBUG] HYPE_STRATEGY_INSTANCES keys: []
2026-04-16 14:21:47 | INFO     | backpack_quant_trading.api.routers.trading:411 | [DEBUG] HYPE_STRATEGY_INSTANCES 数量: 0
2026-04-16 14:21:47 | INFO     | backpack_quant_trading.api.routers.trading:412 | [DEBUG] HYPE_STRATEGY_INSTANCES keys: []
