交易 #,类型,日期和时间,信号,价格 USD,仓位大小（数量）,仓位大小（价值）,净损益 USD,净损益 %,有利波动 USD,有利波动 %,不利波动 USD,不利波动 %,累计P&L USD,累计P&L %
108,多头出场,2025-11-06 10:02,卖,3974.28,1347.3,5336183.745,18363.7,0.34,40230.38,0.75,-6008.96,-0.11,1157399.2,57.87
108,多头进场,2025-11-05 12:02,买 ,3960.65,1347.3,5336183.745,18363.7,0.34,40230.38,0.75,-6008.96,-0.11,1157399.2,57.87
109,多头出场,2025-11-07 00:02,卖,3985.45,1347.8,5367195.682,4393.83,0.08,50434.68,0.94,-9138.08,-0.17,1161793,58.09
109,多头进场,2025-11-06 11:02,买 ,3982.19,1347.8,5367195.682,4393.83,0.08,50434.68,0.94,-9138.08,-0.17,1161793,58.09
110,多头出场,2025-11-07 22:02,卖,3999.53,1341.2,5374885.824,-10716.19,-0.20,9039.69,0.17,-21150.72,-0.39,1151076.9,57.55
110,多头进场,2025-11-07 15:02,买 ,4007.52,1341.2,5374885.824,-10716.19,-0.20,9039.69,0.17,-21150.72,-0.39,1151076.9,57.55
111,多头出场,2025-11-08 04:02,卖,4004.47,1336.8,5356798.224,-3622.73,-0.07,2539.92,0.05,-7191.98,-0.13,1147454.1,57.37
111,多头进场,2025-11-08 03:02,买 ,4007.18,1336.8,5356798.224,-3622.73,-0.07,2539.92,0.05,-7191.98,-0.13,1147454.1,57.37
112,多头出场,2025-11-11 14:02,卖,4128.63,1333.1,5350436.843,153439.81,2.87,180621.72,3.38,-2666.2,-0.05,1300893.9,65.04
112,多头进场,2025-11-10 08:02,买 ,4013.53,1333.1,5350436.843,153439.81,2.87,180621.72,3.38,-2666.2,-0.05,1300893.9,65.04
113,多头出场,2025-11-20 01:02,卖,4072.94,1390,5611374.4,50012.2,0.89,133217.6,2.37,-10647.4,-0.19,1350906.1,67.55
113,多头进场,2025-11-18 17:02,买 ,4036.96,1390,5611374.4,50012.2,0.89,133217.6,2.37,-10647.4,-0.19,1350906.1,67.55
114,多头出场,2026-01-02 23:02,卖,4355.24,1312.1,5696206.609,18303.79,0.32,80156.19,1.41,-48088.46,-0.84,1369209.9,68.46
114,多头进场,2025-12-31 22:02,买 ,4341.29,1312.1,5696206.609,18303.79,0.32,80156.19,1.41,-48088.46,-0.84,1369209.9,68.46
