time,open,high,low,close,Volume,Histogram,MACD,Signal line
2025-06-06T00:30:00+08:00,64,103.75,64,92.84,2411597,,,
2025-06-06T01:30:00+08:00,92.745,97,82.08,87.38,1197919,,,
2025-06-06T02:30:00+08:00,87.38,87.385,76.45,80.25,871498,,,
2025-06-06T03:30:00+08:00,80.34,88,76.1,83.385,718626,,,
2025-06-06T21:30:00+08:00,96.39,103.72,92.91,98,1465900,,,
2025-06-06T22:30:00+08:00,98.24,119.37,98.24,112.15,1414883,,,
2025-06-06T23:30:00+08:00,112.22,115.9,103.39,115.9,1176745,,,
2025-06-07T00:30:00+08:00,115.66,123.52,113.11,120.3,914380,,,
2025-06-07T01:30:00+08:00,120.3,121.68,111.06,117.7,579139,,,
2025-06-07T02:30:00+08:00,117.75,119,113.55,114.21,357984,,,
2025-06-07T03:30:00+08:00,114.17,116.44,106.3,107.44,433069,,,
2025-06-09T21:30:00+08:00,132.66,138.51,117.88,119.71,1860351,,,
2025-06-09T22:30:00+08:00,119.82,121.6,113.36,114.1,859155,,,
2025-06-09T23:30:00+08:00,114.16,115.19,108.43,111,832941,,,
2025-06-10T00:30:00+08:00,111.27,117.65,111.2,116.16,457832,,,
2025-06-10T01:30:00+08:00,116.095,117.49,113.87,114.6,216175,,,
2025-06-10T02:30:00+08:00,114.49,118.95,114.2,116.22,200887,,,
2025-06-10T03:30:00+08:00,116.13,118,114.5,115.305,123172,,,
2025-06-10T21:30:00+08:00,115,115,104.32,106.215,1126720,,,
2025-06-10T22:30:00+08:00,106.215,107.5,103.61,104.21,518575,,,
2025-06-10T23:30:00+08:00,104.29,107.655,101.51,107.25,501816,,,
2025-06-11T00:30:00+08:00,107.22,109.42,106.02,106.8,274018,,,
2025-06-11T01:30:00+08:00,106.505,106.8,103.45,105.94,154401,,,
2025-06-11T02:30:00+08:00,105.94,108.65,105.23,107.33,181231,,,
2025-06-11T03:30:00+08:00,107.3,107.3,104.85,105.85,128127,,,
2025-06-11T21:30:00+08:00,107.49,114.28,106.5,110.61,676979,,0.832237209586367,
2025-06-11T22:30:00+08:00,110.575,117.63,110.54,117.3,442262,,1.4986846079800529,
2025-06-11T23:30:00+08:00,117.26,120.49,115.02,116.21,589939,,1.9167994117588023,
2025-06-12T00:30:00+08:00,116.3,119.25,116.12,117.78,175780,,2.347780532534088,
2025-06-12T01:30:00+08:00,117.8,118.65,113.31,115.7,234114,,2.4927625441667516,
2025-06-12T02:30:00+08:00,115.7,117.3,115.05,115.66,121458,,2.5747540057687814,
2025-06-12T03:30:00+08:00,115.58,118,114.75,117.28,164023,,2.7388811736248613,
2025-06-12T21:30:00+08:00,117.21,117.86,110.09,110.22,476969,,2.273067630792738,
2025-06-12T22:30:00+08:00,110.2,113.12,110.01,112.34,219067,-0.02937243081373886,2.0513269048610994,2.0806993356748382
2025-06-12T23:30:00+08:00,112.5,113.15,111.75,112.625,89464,-0.16299425747297525,1.876956513833619,2.0399507713065943
2025-06-13T00:30:00+08:00,112.68,113.08,108.67,109.78,231302,-0.43836049677700073,1.4920001503353433,1.930360647112344
2025-06-13T01:30:00+08:00,109.8,110.125,106.51,107.08,221871,-0.7778815610987917,0.9580086957388545,1.7358902568376462
2025-06-13T02:30:00+08:00,107.13,107.49,104.33,105.5,192248,-1.066566638729714,0.4026819584255037,1.4692485971552176
2025-06-13T03:30:00+08:00,105.58,107.3,104.26,106.59,151932,-1.1354312724535727,0.049959506588251656,1.1853907790418243
2025-06-13T21:30:00+08:00,109.1,113.45,108.81,112.8,451838,-0.7335723963824416,0.26842528356377215,1.0019976799462138
2025-06-13T22:30:00+08:00,112.89,120.88,112.49,119.16,591630,-0.04649464067515474,0.9438793791022704,0.9903740197774251
2025-06-13T23:30:00+08:00,119.14,125.8,118.6,124.8,581675,0.7374922846260872,1.9122393755600342,1.174747090933947
2025-06-14T00:30:00+08:00,124.98,125.43,120.5,122.99,433845,1.063999620347364,2.504746616368152,1.440746996020788
2025-06-14T01:30:00+08:00,122.92,128.94,122.71,125.71,497351,1.3733205048402997,3.1573976270711626,1.784077122230863
2025-06-14T02:30:00+08:00,125.64,127.89,124.07,127.78,311706,1.611042586060369,3.797880354806324,2.186837768745955
2025-06-14T03:30:00+08:00,127.87,134.68,126.66,133.73,478432,2.03536678385215,4.731046248561142,2.6956794647089923
2025-06-16T21:30:00+08:00,147.55,164.95,147,164.535,1683823,4.135954819191882,7.865622988698846,3.7296681695069633
2025-06-16T22:30:00+08:00,164.535,165.58,159.2,160.95,678784,4.972960121069901,9.94586832084434,4.972908199774439
2025-06-16T23:30:00+08:00,160.97,161.65,151.31,152.49,610971,4.651653551116054,10.787475138669507,6.135821587553453
2025-06-17T00:30:00+08:00,152.63,157.72,152.1,157.46,294029,4.467652127154371,11.720386746496416,7.252734619342045
2025-06-17T01:30:00+08:00,157.495,158,152.9,153.615,197346,3.806621177886271,12.011011091699885,8.204389913813614
2025-06-17T02:30:00+08:00,153.615,154.02,145.89,148.3,503584,2.7787616729395612,11.677842004988065,8.899080332048504
2025-06-17T03:30:00+08:00,148.33,152.03,148.2,151,271187,2.0800284452104467,11.499115888561562,9.419087443351115
2025-06-17T21:30:00+08:00,156.38,164.42,154.28,154.28,1188525,1.656487381646322,11.489696670409018,9.833209288762696
2025-06-17T22:30:00+08:00,154.3,155.78,147.53,152.61,792146,1.1079612519299697,11.218160853675158,10.110199601745189
2025-06-17T23:30:00+08:00,152.45,154,148,149,282617,0.3835200146117863,10.58959962000992,10.206079605398134
2025-06-18T00:30:00+08:00,149,150.43,145.32,146.22,262822,-0.36111045608946846,9.754691535286298,10.115801991375767
2025-06-18T01:30:00+08:00,146.2,148.7,144.21,145.98,209022,-0.916440477555641,8.970251394431216,9.886691871986857
2025-06-18T02:30:00+08:00,145.7,147.84,143.55,146.87,226530,-1.2498066140966682,8.324433604366021,9.57424021846269
2025-06-18T03:30:00+08:00,146.85,150.75,146.49,148.99,147083,-1.345230195403575,7.892702474208221,9.237932669611796
2025-06-18T21:30:00+08:00,153.33,162.18,148,160.76,1379456,-0.6676072234230688,8.40342364033296,9.071030863756029
2025-06-18T22:30:00+08:00,160.81,174.81,160.2,171.22,1471254,0.3769447081514894,9.542211748945391,9.165267040793902
2025-06-18T23:30:00+08:00,171.29,179.54,170.2,177.27,914875,1.3144284340371808,10.808302583340378,9.493874149303197
2025-06-19T00:30:00+08:00,177.29,184.41,176.22,176.88,884348,1.7216778335551215,11.645971441247099,9.924293607691977
2025-06-19T01:30:00+08:00,176.83,187.6,175.21,186.47,762709,2.4082141760392126,12.934561327740994,10.526347151701781
2025-06-19T02:30:00+08:00,186.64,196.85,185.06,193.04,1146300,3.035594642198557,14.320840454449979,11.285245812251421
2025-06-19T03:30:00+08:00,193.01,200.89,193.01,199.805,762266,3.598534740601414,15.78341423800319,12.184879497401775
2025-06-20T21:30:00+08:00,231.26,233,206.17,226.6,2855862,5.361640632424422,18.8869302879323,13.52528965550788
2025-06-20T22:30:00+08:00,226.6,232.4,215.57,231.61,1269758,6.382074198426775,21.50288240354135,15.120808205114574
2025-06-20T23:30:00+08:00,231.63,241.5,228.99,236.88,1347369,6.8855688793757714,23.727769304334288,16.842200424958516
2025-06-21T00:30:00+08:00,236.88,248.87,235.68,241.1,1248453,6.955960107490867,25.5371505593221,18.581190451831233
2025-06-21T01:30:00+08:00,241.17,243.89,229.4,241.16,908749,6.469864935871566,26.668521621670692,20.198656685799126
2025-06-21T02:30:00+08:00,241.09,246.93,234.95,246.145,767122,5.960012645356354,27.64867249249457,21.688659847138215
2025-06-21T03:30:00+08:00,246.11,246.65,238.95,240.6,558772,4.776413078123458,27.659176194792536,22.88276311666908
2025-06-23T21:30:00+08:00,238.36,283.16,232.5,279,3148010,6.026148840510771,30.415449167307543,24.38930032679677
2025-06-23T22:30:00+08:00,279.08,298.99,267,292.77,1874345,7.149974960208976,33.32676902705799,26.176794066849016
2025-06-23T23:30:00+08:00,292.42,298.97,248,250.515,2157980,4.54428967830539,31.857156164730753,27.312866486425364
2025-06-24T00:30:00+08:00,250.99,273.875,243.31,271.42,1747610,3.757979522020001,32.01034088895037,28.252361366930366
2025-06-24T01:30:00+08:00,271.42,274.98,252.81,256.43,848775,1.8539378868002743,30.56978372543071,28.715845838630436
2025-06-24T02:30:00+08:00,256.3,269.65,248,265.99,834508,0.911634970706011,29.85538955201295,28.94375458130694
2025-06-24T03:30:00+08:00,265.77,267,259.2,263.12,321290,-0.17380303402877217,28.726500788770977,28.90030382279975
2025-06-24T21:30:00+08:00,250.375,265,242,245.86,1884003,-2.2099949355913893,26.13781015331051,28.3478050889019
2025-06-24T22:30:00+08:00,245.76,252.9,243.04,246.4,859698,-3.5943689749457626,23.854843870219696,27.44921284516546
2025-06-24T23:30:00+08:00,246.38,254.03,244.93,249.7,503094,-4.313295985269097,22.05759286357909,26.370888848848185
