交易 #,类型,日期和时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,有利波动 USDT,有利波动 %,不利波动 USDT,不利波动 %,累计P&L USDT,累计P&L %
70,多头进场,2025-06-26 16:00,趋进,2488.62,12054.8253,29999879.34,-678927.75,-2.26,128022.24,0.43,-788265,-2.63,14331727,47.77
71,多头出场,2025-06-30 04:00,趋出,2436.93,12280.2852,29999877.12,-73681.71,-0.25,244132.06,0.81,-244746.08,-0.82,14258045,47.53
71,多头进场,2025-06-29 02:00,趋进,2442.93,12280.2852,29999877.12,-73681.71,-0.25,244132.06,0.81,-244746.08,-0.82,14258045,47.53
72,多头出场,2025-07-02 00:00,趋止损,2422.33,11953.7628,29999999.89,-1044041.6,-3.48,139261.34,0.46,-1247494.6,-4.16,13214003,44.05
72,多头进场,2025-06-30 10:00,趋进,2509.67,11953.7628,29999999.89,-1044041.6,-3.48,139261.34,0.46,-1247494.6,-4.16,13214003,44.05
73,多头出场,2025-07-05 00:00,趋出,2499.81,12272.0467,29999877.2,677907.9,2.26,2355374,7.85,-172667.7,-0.58,13891911,46.31
73,多头进场,2025-07-02 20:00,趋进,2444.57,12272.0467,29999877.2,677907.9,2.26,2355374,7.85,-172667.7,-0.58,13891911,46.31
74,多头出场,2025-07-13 04:00,趋出,2939.5,11598.1473,29999999.77,4092754.2,13.64,5258368,17.53,-355135.28,-1.18,17984666,59.95
74,多头进场,2025-07-08 22:00,趋进,2586.62,11598.1473,29999999.77,4092754.2,13.64,5258368,17.53,-355135.28,-1.18,17984666,59.95
75,多头出场,2025-07-19 20:00,趋出,3552.85,9865.9545,29999901.15,5052355.5,16.84,6257383,20.86,-1082689.9,-3.61,23037020,76.79
75,多头进场,2025-07-14 14:00,趋进,3040.75,9865.9545,29999901.15,5052355.5,16.84,6257383,20.86,-1082689.9,-3.61,23037020,76.79
76,多头出场,2025-07-21 16:00,趋出,3788.14,8095.549,30000080.71,666992.3,2.22,967661,3.23,-200364.84,-0.67,23704014,79.01
76,多头进场,2025-07-20 18:00,趋进,3705.75,8095.549,30000080.71,666992.3,2.22,967661,3.23,-200364.84,-0.67,23704014,79.01
77,多头出场,2025-07-29 12:00,趋出,3791.11,7869.8019,29999999.63,-164714.95,-0.55,1026615.7,3.42,-2400604.2,-8.00,23539298,78.46
77,多头进场,2025-07-22 00:00,趋进,3812.04,7869.8019,29999999.63,-164714.95,-0.55,1026615.7,3.42,-2400604.2,-8.00,23539298,78.46
78,多头出场,2025-08-01 04:00,趋出,3736.29,7768.197,29999999.99,-975763.25,-3.25,115823.82,0.39,-1000776.8,-3.34,22563534,75.21
78,多头进场,2025-07-31 12:00,趋进,3861.9,7768.197,29999999.99,-975763.25,-3.25,115823.82,0.39,-1000776.8,-3.34,22563534,75.21
79,多头出场,2025-08-11 12:00,趋出,4309,8147.7015,29999918.4,5108527.5,17.03,5387749,17.96,-292583.97,-0.98,27672062,92.24
79,多头进场,2025-08-07 04:00,趋进,3682.01,8147.7015,29999918.4,5108527.5,17.03,5387749,17.96,-292583.97,-0.98,27672062,92.24
80,多头出场,2025-08-15 04:00,趋出,4537.01,6710.9589,30000066.68,447620.97,1.49,2178243,7.26,-214616.47,-0.72,28119684,93.73
80,多头进场,2025-08-13 00:00,趋进,4470.31,6710.9589,30000066.68,447620.97,1.49,2178243,7.26,-214616.47,-0.72,28119684,93.73
81,多头出场,2025-08-29 00:00,趋止损,4502.44,6542.5044,29999999.68,-542766.2,-1.81,180049.72,0.60,-668643.94,-2.23,27576918,91.92
81,多头进场,2025-08-28 18:00,趋进,4585.4,6542.5044,29999999.68,-542766.2,-1.81,180049.72,0.60,-668643.94,-2.23,27576918,91.92
82,多头出场,2025-09-09 20:00,趋止损,4346.66,6880.3078,29999999.69,-93640.99,-0.31,37428.88,0.12,-132583.53,-0.44,27483276,91.61
82,多头进场,2025-09-09 16:00,趋进,4360.27,6880.3078,29999999.69,-93640.99,-0.31,37428.88,0.12,-132583.53,-0.44,27483276,91.61
83,多头出场,2025-09-20 00:00,趋止损,4472.73,6626.9637,29999999.59,-359380.25,-1.20,769390.5,2.56,-556399.9,-1.85,27123896,90.41
83,多头进场,2025-09-18 06:00,趋进,4526.96,6626.9637,29999999.59,-359380.25,-1.20,769390.5,2.56,-556399.9,-1.85,27123896,90.41
84,多头出场,2025-10-04 20:00,趋出,4482.07,6983.2239,29999999.71,1299298.6,4.33,2059492.4,6.86,-139734.31,-0.47,28423194,94.74
84,多头进场,2025-10-01 20:00,趋进,4296.01,6983.2239,29999999.71,1299298.6,4.33,2059492.4,6.86,-139734.31,-0.47,28423194,94.74
85,多头出场,2025-10-08 04:00,趋出,4477.61,6515.7899,29999934.7,-824768.7,-2.75,978541.3,3.26,-1043568.94,-3.48,27598426,91.99
85,多头进场,2025-10-05 16:00,趋进,4604.19,6515.7899,29999934.7,-824768.7,-2.75,978541.3,3.26,-1043568.94,-3.48,27598426,91.99
86,多头出场,2025-10-29 00:00,趋出,4095.42,7592.2265,29999999.71,1093356.5,3.64,2282071.5,7.61,-269903.66,-0.90,28691782,95.64
86,多头进场,2025-10-26 06:00,趋进,3951.41,7592.2265,29999999.71,1093356.5,3.64,2282071.5,7.61,-269903.66,-0.90,28691782,95.64
87,多头出场,2025-11-13 18:00,趋止损,3485,8485.0027,29999999.8,-429765.38,-1.43,103771.59,0.35,-506130.4,-1.69,28262016,94.21
87,多头进场,2025-11-13 16:00,趋进,3535.65,8485.0027,29999999.8,-429765.38,-1.43,103771.59,0.35,-506130.4,-1.69,28262016,94.21
88,多头出场,2025-11-26 12:00,趋止损,2925.22,10106.1482,29999999.87,-437293.03,-1.46,64275.1,0.21,-502477.7,-1.67,27824724,92.75
88,多头进场,2025-11-26 10:00,趋进,2968.49,10106.1482,29999999.87,-437293.03,-1.46,64275.1,0.21,-502477.7,-1.67,27824724,92.75
89,多头出场,2025-11-29 16:00,趋出,3003.4,9898.7032,30000098.78,-270333.6,-0.90,666083.75,2.22,-461675.53,-1.54,27554390,91.85
89,多头进场,2025-11-27 04:00,趋进,3030.71,9898.7032,30000098.78,-270333.6,-0.90,666083.75,2.22,-461675.53,-1.54,27554390,91.85
90,多头出场,2025-12-01 10:00,趋止损,2849.46,9908.5114,29999999.97,-1766093.1,-5.89,204214.42,0.68,-1967929.5,-6.56,25788298,85.96
90,多头进场,2025-12-01 00:00,趋进,3027.7,9908.5114,29999999.97,-1766093.1,-5.89,204214.42,0.68,-1967929.5,-6.56,25788298,85.96
91,多头出场,2025-12-11 20:00,趋出,3191.08,8891.049,29999999.71,-1627951.1,-5.43,638555.1,2.13,-1850849.6,-6.17,24160346,80.53
91,多头进场,2025-12-10 02:00,趋进,3374.18,8891.049,29999999.71,-1627951.1,-5.43,638555.1,2.13,-1850849.6,-6.17,24160346,80.53
92,多头出场,2025-12-13 00:00,趋止损,3069.59,9231.735,29999907.64,-1662266.2,-5.54,46343.31,0.15,-1793172.2,-5.98,22498080,74.99
92,多头进场,2025-12-12 18:00,趋进,3249.65,9231.735,29999907.64,-1662266.2,-5.54,46343.31,0.15,-1793172.2,-5.98,22498080,74.99
