交易编号,类型,日期和时间,信号,价格 CNY,大小（数量）,大小（价值）,净损益 CNY,净损益 %,有利波动 CNY,有利波动 %,不利波动 CNY,不利波动 %,累计损益 CNY,累计损益 %
1,多头出场,2023-06-21 13:30,离场信号,42.03,45537,1999985.04,-87630.49,-4.38,228251.11,11.41,-94606.21,-4.73,-87630.49,-4.38
1,多头进场,2023-05-15 13:30,进场,43.92,45537,1999985.04,-87630.49,-4.38,228251.11,11.41,-94606.21,-4.73,-87630.49,-4.38
2,多头出场,2023-07-10 13:30,离场信号,41.49,47147,1999975.74,-45429.15,-2.27,43518.19,2.18,-60676.68,-3.03,-133059.64,-6.65
2,多头进场,2023-06-30 09:30,进场,42.42,47147,1999975.74,-45429.15,-2.27,43518.19,2.18,-60676.68,-3.03,-133059.64,-6.65
3,多头出场,2023-07-20 13:30,离场信号,39.97,47136,1999980.48,-117508.16,-5.87,89229.77,4.46,-120996.79,-6.05,-250567.81,-12.53
3,多头进场,2023-07-11 11:30,进场,42.43,47136,1999980.48,-117508.16,-5.87,89229.77,4.46,-120996.79,-6.05,-250567.81,-12.53
4,多头出场,2023-09-19 13:30,离场信号,36.46,50671,1999984.37,-154058.69,-7.70,38723.39,1.94,-320534,-16.02,-404626.5,-20.23
4,多头进场,2023-07-31 09:30,进场,39.47,50671,1999984.37,-154058.69,-7.70,38723.39,1.94,-320534,-16.02,-404626.5,-20.23
5,多头出场,2023-10-18 13:30,离场信号,34.98,54824,1999979.52,-83803.09,-4.19,79791.29,3.99,-83035.99,-4.15,-488429.6,-24.42
5,多头进场,2023-09-22 11:30,进场,36.48,54824,1999979.52,-83803.09,-4.19,79791.29,3.99,-83035.99,-4.15,-488429.6,-24.42
6,多头出场,2023-11-22 13:30,离场信号,35.15,59594,1999974.64,93116.58,4.65,245323.23,12.26,-19274.13,-0.96,-395313,-19.77
6,多头进场,2023-10-26 13:30,进场,33.56,59594,1999974.64,93116.58,4.65,245323.23,12.26,-19274.13,-0.96,-395313,-19.77
7,多头出场,2023-12-18 13:30,离场信号,34.12,56931,1999986.03,-59077.3,-2.95,76626.16,3.83,-90750.98,-4.54,-454390.3,-22.72
7,多头进场,2023-11-29 09:30,进场,35.13,56931,1999986.03,-59077.3,-2.95,76626.16,3.83,-90750.98,-4.54,-454390.3,-22.72
8,多头出场,2024-02-02 13:30,离场信号,26.18,60404,1999976.44,-420032.25,-20.99,69872.69,3.49,-490072.38,-24.49,-874422.56,-43.72
8,多头进场,2023-12-27 13:30,进场,33.11,60404,1999976.44,-420032.25,-20.99,69872.69,3.49,-490072.38,-24.49,-874422.56,-43.72
9,多头出场,2024-03-25 13:30,离场信号,26.3,77519,1999990.2,37144,1.86,324004.62,16.19,-50412.16,-2.52,-837278.56,-41.86
9,多头进场,2024-02-07 13:30,进场,25.8,77519,1999990.2,37144,1.86,324004.62,16.19,-50412.16,-2.52,-837278.56,-41.86
