交易 #,类型,日期和时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,有利波动 USDT,有利波动 %,不利波动 USDT,不利波动 %,累计P&L USDT,累计P&L %
141,多头进场,2024-11-30 16:00,趋进,3703.06,6918.2326,25618630.41,176622.48,0.69,302603.5,1.18,-496936.66,-1.94,21414022,71.38
142,多头出场,2024-12-08 12:00,趋出,3989.28,7020.3208,25706940.5,2299084.8,8.94,2990235.5,11.63,-15725.52,-0.06,23713106,79.04
142,多头进场,2024-12-04 12:00,趋进,3661.79,7020.3208,25706940.5,2299084.8,8.94,2990235.5,11.63,-15725.52,-0.06,23713106,79.04
143,多头出场,2024-12-18 08:00,趋出,3893.01,6879.0815,26856553.29,-76220.23,-0.28,1401337.8,5.22,-410612.38,-1.53,23636886,78.79
143,多头进场,2024-12-16 04:00,趋进,3904.09,6879.0815,26856553.29,-76220.23,-0.28,1401337.8,5.22,-410612.38,-1.53,23636886,78.79
144,多头出场,2025-01-01 00:00,趋止损,3412.86,7822.5055,26818443.18,-121327.06,-0.45,177023.3,0.66,-185471.61,-0.69,23515560,78.39
144,多头进场,2024-12-31 22:00,趋进,3428.37,7822.5055,26818443.18,-121327.06,-0.45,177023.3,0.66,-185471.61,-0.69,23515560,78.39
145,多头出场,2025-01-06 08:00,趋出,3636,7483.7097,26757779.52,452988.94,1.69,746724.56,2.79,-22825.31,-0.09,23968548,79.90
145,多头进场,2025-01-04 02:00,趋进,3575.47,7483.7097,26757779.52,452988.94,1.69,746724.56,2.79,-22825.31,-0.09,23968548,79.90
146,多头出场,2025-01-08 00:00,趋止损,3462.65,7344.9181,26984200.81,-1551320.1,-5.75,216821.98,0.80,-1910046,-7.08,22417228,74.72
146,多头进场,2025-01-07 02:00,趋进,3673.86,7344.9181,26984200.81,-1551320.1,-5.75,216821.98,0.80,-1910046,-7.08,22417228,74.72
147,多头出场,2025-01-18 14:00,趋止损,3294,7703.8842,26208614.05,-832019.5,-3.17,953124.56,3.64,-862758,-3.29,21585208,71.95
147,多头进场,2025-01-17 22:00,趋进,3402,7703.8842,26208614.05,-832019.5,-3.17,953124.56,3.64,-862758,-3.29,21585208,71.95
148,多头出场,2025-01-20 06:00,趋止损,3233,7492.6444,25792529.23,-1568809.9,-6.08,49526.38,0.19,-1756126,-6.81,20016400,66.72
148,多头进场,2025-01-20 02:00,趋进,3442.38,7492.6444,25792529.23,-1568809.9,-6.08,49526.38,0.19,-1756126,-6.81,20016400,66.72
149,多头出场,2025-01-21 02:00,趋止损,3292.98,7434.0664,25008273.71,-528041.75,-2.11,201834.9,0.81,-1178968.6,-4.71,19488358,64.96
149,多头进场,2025-01-20 18:00,趋进,3364.01,7434.0664,25008273.71,-528041.75,-2.11,201834.9,0.81,-1178968.6,-4.71,19488358,64.96
150,多头出场,2025-01-26 18:00,趋止损,3298.5,7411.6321,24744252.58,-296984.1,-1.20,36168.77,0.15,-339082.16,-1.37,19191374,63.97
150,多头进场,2025-01-26 16:00,趋进,3338.57,7411.6321,24744252.58,-296984.1,-1.20,36168.77,0.15,-339082.16,-1.37,19191374,63.97
151,多头出场,2025-02-18 14:00,趋止损,2677.62,8927.0058,24595686.38,-692557.1,-2.82,843602.06,3.43,-724605.06,-2.95,18498816,61.66
151,多头进场,2025-02-17 20:00,趋进,2755.2,8927.0058,24595686.38,-692557.1,-2.82,843602.06,3.43,-724605.06,-2.95,18498816,61.66
152,多头出场,2025-02-22 02:00,趋止损,2672.65,8901.4132,24249407.87,-459045.88,-1.89,1077961.1,4.45,-628884.8,-2.59,18039770,60.13
152,多头进场,2025-02-19 18:00,趋进,2724.22,8901.4132,24249407.87,-459045.88,-1.89,1077961.1,4.45,-628884.8,-2.59,18039770,60.13
153,多头出场,2025-02-24 18:00,趋止损,2696.75,8653.6939,24019798.55,-682949.5,-2.84,706747.2,2.94,-842956.3,-3.51,17356820,57.86
153,多头进场,2025-02-23 00:00,趋进,2775.67,8653.6939,24019798.55,-682949.5,-2.84,706747.2,2.94,-842956.3,-3.51,17356820,57.86
154,多头出场,2025-03-26 12:00,趋出,2049.06,11933.2992,23678290.94,773755.1,3.27,1430683.2,6.04,-112650.34,-0.48,18130576,60.44
154,多头进场,2025-03-22 16:00,趋进,1984.22,11933.2992,23678290.94,773755.1,3.27,1430683.2,6.04,-112650.34,-0.48,18130576,60.44
155,多头出场,2025-04-22 02:00,趋止损,1578.43,14722.9727,24065435.03,-826253.25,-3.43,356295.94,1.48,-930197.44,-3.87,17304322,57.68
155,多头进场,2025-04-21 12:00,趋进,1634.55,14722.9727,24065435.03,-826253.25,-3.43,356295.94,1.48,-930197.44,-3.87,17304322,57.68
156,多头出场,2025-04-25 08:00,趋出,1769.64,14501.3649,23652161.19,2010034.2,8.50,2955813.2,12.50,-60615.71,-0.26,19314356,64.38
156,多头进场,2025-04-22 20:00,趋进,1631.03,14501.3649,23652161.19,2010034.2,8.50,2955813.2,12.50,-60615.71,-0.26,19314356,64.38
157,多头出场,2025-05-03 20:00,趋出,1824.1,13776.4222,24657315.98,472255.75,1.92,1148264.8,4.66,-800685.7,-3.25,19786612,65.96
157,多头进场,2025-04-26 06:00,趋进,1789.82,13776.4222,24657315.98,472255.75,1.92,1148264.8,4.66,-800685.7,-3.25,19786612,65.96
