time,open,high,low,close,Histogram,MACD,Signal line,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Open Interest,Open Interest (开盘价),Open Interest (最高价,Open Interest (最低价),Open Interest (关闭),Volume Delta (开盘价),Volume Delta (最高价,Volume Delta (最低价),Volume Delta (关闭),CDV Line,CDV Candles (开盘价),CDV Candles (最高价,CDV Candles (最低价),CDV Candles (关闭),SMA 1,SMA 2,EMA 1,EMA 2
2026-01-21T01:30:00+08:00,49.68,49.7,48.55,48.56,-0.003961777813189626,0.561152630000251,0.5651144078134406,55.59124210030062,55.97752455961154,,,,,,,,,,0,0,-557167,-557167,,76114061.87583953,77623208.53009199,76114061.87583953,77179481.26704851,,,,
2026-01-21T02:30:00+08:00,48.555,48.64,47.99,48.19,-0.04975528344227298,0.5029203035105994,0.5526755869528723,52.76676430785889,55.178598428398075,,,,,,,,,,0,0,-445005,-289763,,76646771.57144402,76735754.00400503,75919151.36938964,76327452.68669733,,,,
2026-01-21T03:30:00+08:00,48.19,48.525,47.84,48.49,-0.061742850112670666,0.475497024312034,0.5372398744247047,54.77322926940122,54.51081226679406,,,,,,,,,,0,340261,-124527,340261,,76487112.12907067,76552655.1978568,75919151.36938964,76235903.28362322,,,,
2026-01-21T04:30:00+08:00,48.5,48.79,48.44,48.59,-0.06453590943909115,0.45656998762584067,0.5211058970649318,55.45254274657263,54.28923286517859,,,,,,,,,,0,192210,-142701,192210,,76361507.70634694,77115110.96928537,76361507.70634694,76833883.08357108,,,,
2026-01-21T22:30:00+08:00,50.32,53.8,50.15,53.675,0.2568585316186238,0.8421790615882117,0.5853205299695878,75.55731614581828,55.78996226928019,,,,,,,,,,0,5125724,0,5006224,,76597695.394959,83757768.22818948,76597695.394959,80436439.59873742,,,,
2026-01-21T23:30:00+08:00,53.675,54.16,53.27,54.07,0.46470911382663593,1.1662069222528828,0.7014978084262469,76.4465610996878,57.85971982673028,,,,,,,,,,0,671329,-477498,-57830,,78517067.49684821,85888003.68886365,78517067.49684821,84822885.95852657,,,,
2026-01-22T00:30:00+08:00,54.07,54.07,52.93,53.23,0.5106227531553825,1.339776249870475,0.8291534967150925,70.56704824380179,59.49192315882993,,,,,,,,,,0,0,-1147362,-1147362,,81669976.72768739,85888003.68886365,81669976.72768739,85098854.71517944,,,,
2026-01-22T01:30:00+08:00,53.215,53.285,52.68,52.995,0.4900764591518917,1.4417490706549572,0.9516726115030655,68.9689255795285,60.80786833048547,,,,,,,,,,0,0,-458484,-310574,,83384415.72143342,84309705.74149522,83380436.65058613,83845071.19604068,,,,
2026-01-22T02:30:00+08:00,52.995,53.88,52.88,53.775,0.49260938255368236,1.5674343396951684,1.074824957141486,71.29278892236218,62.253842842689814,,,,,,,,,,0,118729,-223802,77671,,83614743.45873705,84551656.18058613,83380436.65058613,83966046.41558613,,,,
2026-01-22T03:30:00+08:00,53.78,54.125,53.64,53.715,0.45474553824186725,1.64325687994382,1.1885113417019528,70.85323235691808,63.85491660049852,,,,,,,,,,0,502106,-82920,224075,,83790394.9371616,84551656.18058613,83562271.3867717,84056963.7836789,,,,
2026-01-22T04:30:00+08:00,53.71,54.41,53.54,54.26,0.4311198973709405,1.7274112134156283,1.2962913160446878,72.51112379130244,65.67781543345767,,,,,,,,,,0,1693224,0,1693224,,83923679.36042026,85221103.96148434,83562271.3867717,84391687.67412803,,,,
2026-01-22T22:30:00+08:00,54.2,54.48,53.08,53.69,0.34551767710150294,1.7281884124215665,1.3826707353200636,68.14531482956714,65.95436743498739,,,,,,,,,,0,0,-1306636,-581678,,84157683.51727414,85221103.96148434,81843414.94005576,83532259.45077005,,,,
2026-01-22T23:30:00+08:00,53.685,54.48,53.62,54.22,0.2949690729107133,1.7513820764584551,1.4564130035477418,69.95663161758061,66.31592274785774,,,,,,,,,,0,696883,0,557121,,83844971.4840221,83844971.4840221,81843414.94005576,82627136.07813716,,,,
2026-01-23T00:30:00+08:00,54.21,54.6,53.86,54.23,0.23518375816745118,1.7503927012570557,1.5152089430896045,69.99130346961607,66.63385889145115,,,,,,,,,,0,512817,-112923,404713,,83236053.78107962,83997405.18919152,83236053.78107962,83704131.20270503,,,,
2026-01-23T01:30:00+08:00,54.24,54.55,54.11,54.35,0.17922700884641318,1.739242704147621,1.5600156953012079,70.43227670628136,67.69393279187834,,,,,,,,,,0,288753,0,208753,,83470092.49189232,84401187.06419152,83470092.49189232,84199296.12669152,,,,
2026-01-23T02:30:00+08:00,54.345,54.47,54.24,54.25,0.11415489477699525,1.702709313772452,1.5885544189954568,69.51552787924538,68.89027304697738,,,,,,,,,,0,60581,-230837,-230837,,83834694.30929193,84401187.06419152,83762157.227235,84081672.14571327,,,,
2026-01-23T03:30:00+08:00,54.25,54.375,53.82,53.95,0.033756919563450394,1.6307505684497698,1.5969936488863195,66.71024222044655,69.74291682919491,,,,,,,,,,0,235382,-415050,-415050,,83958183.2275026,83958183.2275026,82821540.14615393,83291848.68669447,,,,
2026-01-23T04:30:00+08:00,53.95,54.4,53.83,54.34,-0.008075164605731766,1.5868996931291548,1.5949748577348866,68.49042985771872,70.67419447999106,,,,,,,,,,0,1053155,-187976,1053155,,83625015.95709854,84024998.67246972,82821540.14615393,83423269.40931183,,,,
2026-01-23T22:30:00+08:00,46.82,48.125,45.35,46.13,-0.5723554923357228,0.879530492315233,1.4518859846509558,30.9586018349751,67.48857202921654,,,,,,,,,,0,0,-3423950,-1176258,,83524142.68320519,84024998.67246972,78132413.42922649,81078706.0508481,,,,
2026-01-23T23:30:00+08:00,46.13,46.665,45.65,45.87,-0.9258608091234852,0.2945599732465993,1.2204207823700846,30.39063307733855,64.19886288476302,,,,,,,,,,0,1183265,-316361,-316361,,82301424.36702664,82301424.36702664,75762285.78144322,76947349.60533486,,,,
