time,open,high,low,close,Volume,Histogram,MACD,Signal line
2024-01-02T11:00:00+08:00,2067.94,2070.76,2066.57,2069.72,,-0.08786042049677212,-1.1839822535262101,-1.096121833029438
2024-01-02T13:00:00+08:00,2069.72,2076.78,2069.61,2074.29,,0.46339353792137283,-0.516879910627722,-0.9802734485490948
2024-01-02T15:00:00+08:00,2074.29,2076.48,2071.89,2073.39,,0.7361180529910112,-0.06012588231033078,-0.796243935301342
2024-01-02T17:00:00+08:00,2073.39,2078.93,2073.37,2076.07,,1.0467585137695616,0.5122042069106101,-0.5345543068589516
2024-01-02T19:00:00+08:00,2076.07,2076.25,2065.15,2067.98,,0.6751776547950847,0.3094177616349043,-0.36575989316018037
2024-01-02T21:00:00+08:00,2067.98,2071.15,2062.26,2070.45,,0.5678482355227794,0.3440504012432939,-0.2237978342794855
2024-01-02T23:00:00+08:00,2070.45,2070.76,2056.09,2066.15,,0.19843305972854475,0.024243490381195443,-0.1741895693473493
2024-01-03T01:00:00+08:00,2066.15,2067,2060.67,2061.24,,-0.3552680808747358,-0.6182746704407691,-0.2630065895660333
2024-01-03T03:00:00+08:00,2061.24,2062.23,2058.01,2058.23,,-0.8733868761969907,-1.3547401848122718,-0.48135330861528103
2024-01-03T05:00:00+08:00,2058.23,2059.31,2058.11,2059,,-1.0988213088505647,-1.854879944678487,-0.7560586358279222
2024-01-03T07:00:00+08:00,2059,2062.19,2058.7,2060.27,,-1.0945759398082295,-2.124278560588209,-1.0297026207799795
2024-01-03T09:00:00+08:00,2060.27,2065.22,2059.6,2064.78,,-0.7373302792147962,-1.9513654697984748,-1.2140351905836786
2024-01-03T11:00:00+08:00,2064.78,2065.67,2063.36,2064.89,,-0.456675478422762,-1.784879538612131,-1.328204060189369
2024-01-03T13:00:00+08:00,2064.89,2066.04,2063.51,2064.39,,-0.27662665229799654,-1.6739873755618646,-1.397360723263868
2024-01-03T15:00:00+08:00,2064.39,2064.39,2059.02,2060.12,,-0.40903626351129474,-1.9086560526529865,-1.4996197891416918
2024-01-03T17:00:00+08:00,2060.12,2060.64,2052.75,2054.95,,-0.7868512603575921,-2.483183864588682,-1.6963326042310898
2024-01-03T19:00:00+08:00,2054.95,2055.7,2041.9,2045.78,,-1.5521531742669126,-3.6365240720647307,-2.084370897797818
2024-01-03T21:00:00+08:00,2045.78,2048.06,2031.84,2038.01,,-2.427323589595761,-5.11852538479252,-2.6912017951967586
2024-01-03T23:00:00+08:00,2038.01,2048.82,2031.41,2032.49,,-3.1763574687385834,-6.661648631119988,-3.4852911623814045
2024-01-04T01:00:00+08:00,2032.49,2036.37,2030.76,2035.91,,-3.229296341294477,-7.521911588999501,-4.292615247705024
2024-01-04T03:00:00+08:00,2035.91,2042.38,2030.69,2041.03,,-2.7273109580745016,-7.701753945298151,-4.974442987223649
2024-01-04T05:00:00+08:00,2041.03,2041.88,2040.39,2041.6,,-2.187978982302278,-7.709416715101497,-5.521437732799219
2024-01-04T07:00:00+08:00,2041.6,2043.96,2041.6,2042.21,,-1.645972005979532,-7.578902740273634,-5.932930734294102
2024-01-04T09:00:00+08:00,2042.21,2044.83,2040.2,2044.71,,-1.0063344046953961,-7.1908487401633465,-6.18451433546795
2024-01-04T11:00:00+08:00,2044.71,2047.02,2042.46,2043.13,,-0.5971171078223971,-6.930910720245947,-6.33379361242355
2024-01-04T13:00:00+08:00,2043.13,2048.7,2042.47,2047.32,,0.01581423022820605,-6.314025824638293,-6.329840054866499
2024-01-04T15:00:00+08:00,2047.32,2049.6,2045.53,2046.85,,0.4268723519104167,-5.796249614978478,-6.223121966888895
