交易 #,类型,日期和时间,信号,价格 USD,仓位大小（数量）,仓位大小（价值）,净损益 USD,净损益 %,有利波动 USD,有利波动 %,不利波动 USD,不利波动 %,累计P&L USD,累计P&L %
55,多头出场,2025-08-18 06:00,卖,3336.08,1549,5172560.21,-6523.31,-0.13,0,0.00,-6987.37,-0.14,1036636.56,51.83
55,多头进场,2025-08-16 04:00,买 ,3339.29,1549,5172560.21,-6523.31,-0.13,0,0.00,-6987.37,-0.14,1036636.56,51.83
56,多头出场,2025-08-19 02:00,卖,3333.93,1542.1,5161300.753,-21592.68,-0.42,17006.22,0.33,-24106.17,-0.47,1015043.9,50.75
56,多头进场,2025-08-18 10:00,买 ,3346.93,1542.1,5161300.753,-21592.68,-0.42,17006.22,0.33,-24106.17,-0.47,1015043.9,50.75
57,多头出场,2025-08-20 00:00,卖,3322.74,1533.9,5124545.154,-29327.46,-0.57,6149.21,0.12,-31155.24,-0.61,985716.44,49.29
57,多头进场,2025-08-19 16:00,买 ,3340.86,1533.9,5124545.154,-29327.46,-0.57,6149.21,0.12,-31155.24,-0.61,985716.44,49.29
58,多头出场,2025-08-21 22:00,卖,3339.51,1525.7,5074859.625,18705.29,0.37,38723.89,0.76,-4361.88,-0.09,1004421.7,50.22
58,多头进场,2025-08-20 18:00,买 ,3326.25,1525.7,5074859.625,18705.29,0.37,38723.89,0.76,-4361.88,-0.09,1004421.7,50.22
59,多头出场,2025-08-22 02:00,卖,3337.14,1527.2,5106483.368,-11533.6,-0.23,0,0.00,-10906.58,-0.21,992888.06,49.64
59,多头进场,2025-08-22 00:00,买 ,3343.69,1527.2,5106483.368,-11533.6,-0.23,0,0.00,-10906.58,-0.21,992888.06,49.64
60,多头出场,2025-10-24 18:00,卖,4060.88,1241.3,5087083.247,-47832.08,-0.94,69568.99,1.37,-63510.78,-1.25,945056,47.25
60,多头进场,2025-10-23 06:00,买 ,4098.19,1241.3,5087083.247,-47832.08,-0.94,69568.99,1.37,-63510.78,-1.25,945056,47.25
61,多头出场,2025-10-30 10:00,卖,3948.06,1264,5005591.68,-16743.23,-0.33,87767.08,1.75,-57175.8,-1.14,928312.8,46.42
61,多头进场,2025-10-29 04:00,买 ,3960.12,1264,5005591.68,-16743.23,-0.33,87767.08,1.75,-57175.8,-1.14,928312.8,46.42
62,多头出场,2025-11-01 02:00,卖,3997.71,1256.4,4977077.832,44145.04,0.89,106009.75,2.13,-2191.42,-0.04,972457.8,48.62
62,多头进场,2025-10-30 16:00,买 ,3961.38,1256.4,4977077.832,44145.04,0.89,106009.75,2.13,-2191.42,-0.04,972457.8,48.62
63,多头出场,2025-11-03 19:00,卖,3998.94,1256.9,5052310.654,-27554.75,-0.55,7336.59,0.15,-33914.87,-0.67,944903.06,47.25
63,多头进场,2025-11-03 17:00,买 ,4019.66,1256.9,5052310.654,-27554.75,-0.55,7336.59,0.15,-33914.87,-0.67,944903.06,47.25
64,多头出场,2025-11-04 03:00,卖,4006.46,1244.3,5005532.711,-21793.15,-0.44,9004.48,0.18,-34707.78,-0.69,923109.94,46.16
64,多头进场,2025-11-03 23:00,买 ,4022.77,1244.3,5005532.711,-21793.15,-0.44,9004.48,0.18,-34707.78,-0.69,923109.94,46.16
65,多头出场,2025-11-07 07:00,卖,3977.19,1248.3,4968271.449,-5035.12,-0.10,48687.44,0.98,-30304.98,-0.61,918074.8,45.90
65,多头进场,2025-11-05 17:00,买 ,3980.03,1248.3,4968271.449,-5035.12,-0.10,48687.44,0.98,-30304.98,-0.61,918074.8,45.90
66,多头出场,2025-11-11 23:00,卖,4125.12,1240.4,4959739.4,155547.97,3.14,185961.05,3.75,-18432.06,-0.37,1073622.8,53.68
66,多头进场,2025-11-07 13:00,买 ,3998.5,1240.4,4959739.4,155547.97,3.14,185961.05,3.75,-18432.06,-0.37,1073622.8,53.68
67,多头出场,2025-11-20 13:00,卖,4075.75,1291.7,5224099.812,38973.15,0.75,113467.25,2.17,-20249.53,-0.39,1112595.9,55.63
67,多头进场,2025-11-18 19:00,买 ,4044.36,1291.7,5224099.812,38973.15,0.75,113467.25,2.17,-20249.53,-0.39,1112595.9,55.63
68,多头出场,2025-11-26 05:00,卖,4132.4,1301.8,5290541.236,87416.57,1.65,123528.32,2.33,-1835.02,-0.03,1200012.5,60.00
68,多头进场,2025-11-24 19:00,买 ,4064.02,1301.8,5290541.236,87416.57,1.65,123528.32,2.33,-1835.02,-0.03,1200012.5,60.00
69,多头出场,2026-01-03 05:00,卖,4331.59,1251.5,5439156.665,-19800.8,-0.36,69618.55,1.28,-52602.94,-0.97,1180211.6,59.01
69,多头进场,2025-12-31 23:00,买 ,4346.11,1251.5,5439156.665,-19800.8,-0.36,69618.55,1.28,-52602.94,-0.97,1180211.6,59.01
70,多头出场,2026-02-05 03:00,卖,4927.52,1159.8,5405398.674,307870.97,5.69,499480.53,9.24,-810.81,-0.01,1488082.6,74.40
70,多头进场,2026-02-03 07:00,买 ,4660.63,1159.8,5405398.674,307870.97,5.69,499480.53,9.24,-810.81,-0.01,1488082.6,74.40
71,多头出场,2026-02-10 13:00,卖,5031.71,1215.2,5928426.112,184301.44,3.11,252042.47,4.25,-18619.03,-0.31,1672384.1,83.62
71,多头进场,2026-02-06 19:00,买 ,4878.56,1215.2,5928426.112,184301.44,3.11,252042.47,4.25,-18619.03,-0.31,1672384.1,83.62
72,多头出场,2026-02-20 13:00,卖,4999.86,1265,6241687.1,81250.82,1.30,110687.34,1.77,-35951.45,-0.58,1753634.9,87.68
72,多头进场,2026-02-18 13:00,买 ,4934.14,1265,6241687.1,81250.82,1.30,110687.34,1.77,-35951.45,-0.58,1753634.9,87.68
