交易编号,类型,日期和时间,信号,价格 CNY,大小（数量）,大小（价值）,净损益 CNY,净损益 %,有利波动 CNY,有利波动 %,不利波动 CNY,不利波动 %,累计损益 CNY,累计损益 %
1,多头出场,2017-05-12 13:30,离场信号,35.35,56069,1999981.23,-19534.89,-0.98,602502.44,30.11,-294601.56,-14.72,-19534.89,-0.98
1,多头进场,2017-03-13 09:30,进场,35.67,56069,1999981.23,-19534.89,-0.98,602502.44,30.11,-294601.56,-14.72,-19534.89,-0.98
2,多头出场,2017-07-17 13:30,离场信号,27.22,52882,1999997.24,-561925,-28.09,3430.56,0.17,-571396.75,-28.56,-581459.9,-29.07
2,多头进场,2017-05-17 09:30,进场,37.82,52882,1999997.24,-561925,-28.09,3430.56,0.17,-571396.75,-28.56,-581459.9,-29.07
3,多头出场,2017-08-11 13:30,离场信号,24.93,71174,1999989.4,-227131.33,-11.35,102402.31,5.12,-329623.88,-16.47,-808591.2,-40.43
3,多头进场,2017-07-21 09:30,进场,28.1,71174,1999989.4,-227131.33,-11.35,102402.31,5.12,-329623.88,-16.47,-808591.2,-40.43
4,多头出场,2017-09-27 13:30,离场信号,45.48,78864,1999991.04,1584509,79.19,1887204.1,94.32,-14995.52,-0.75,775917.8,38.80
4,多头进场,2017-08-16 13:30,进场,25.36,78864,1999991.04,1584509,79.19,1887204.1,94.32,-14995.52,-0.75,775917.8,38.80
5,多头出场,2018-03-22 13:30,离场信号,66.33,39478,1999955.48,616772.9,30.83,990097.8,49.49,-346232.47,-17.31,1392690.6,69.63
5,多头进场,2017-10-09 09:30,进场,50.66,39478,1999955.48,616772.9,30.83,990097.8,49.49,-346232.47,-17.31,1392690.6,69.63
6,多头出场,2018-05-28 13:30,离场信号,59.19,28070,1999987.5,-339988.78,-16.99,205514.5,10.27,-389569.5,-19.47,1052701.9,52.64
6,多头进场,2018-03-27 13:30,进场,71.25,28070,1999987.5,-339988.78,-16.99,205514.5,10.27,-389569.5,-19.47,1052701.9,52.64
7,多头出场,2018-07-31 13:30,离场信号,58.62,36403,1999980.82,132309.47,6.61,404001.38,20.19,-366286.12,-18.31,1185011.4,59.25
7,多头进场,2018-06-05 11:30,进场,54.94,36403,1999980.82,132309.47,6.61,404001.38,20.19,-366286.12,-18.31,1185011.4,59.25
8,多头出场,2018-09-07 13:30,离场信号,52.34,32478,1999995.24,-301576.7,-15.07,0,0.00,-373972.22,-18.69,883434.7,44.17
8,多头进场,2018-08-02 13:30,进场,61.58,32478,1999995.24,-301576.7,-15.07,0,0.00,-373972.22,-18.69,883434.7,44.17
9,多头出场,2018-10-08 13:30,离场信号,40.74,44953,1999958.97,-170106.28,-8.50,127765.59,6.39,-169373.73,-8.47,713328.4,35.67
9,多头进场,2018-09-18 13:30,进场,44.49,44953,1999958.97,-170106.28,-8.50,127765.59,6.39,-169373.73,-8.47,713328.4,35.67
10,多头出场,2018-12-13 13:30,离场信号,37.15,54156,1999981.08,10309.57,0.52,313846.38,15.69,-232587.67,-11.62,723637.94,36.18
10,多头进场,2018-10-15 11:30,进场,36.93,54156,1999981.08,10309.57,0.52,313846.38,15.69,-232587.67,-11.62,723637.94,36.18
11,多头出场,2019-03-15 13:30,离场信号,50,58156,1999984.84,905852.06,45.27,1483922.6,74.17,-292743.12,-14.63,1629490,81.47
11,多头进场,2018-12-24 09:30,进场,34.39,58156,1999984.84,905852.06,45.27,1483922.6,74.17,-292743.12,-14.63,1629490,81.47
12,多头出场,2019-04-10 13:30,离场信号,55,37608,1999993.44,66819.19,3.34,283140.4,14.15,-181694.48,-9.08,1696309.1,84.82
12,多头进场,2019-03-22 11:30,进场,53.18,37608,1999993.44,66819.19,3.34,283140.4,14.15,-181694.48,-9.08,1696309.1,84.82
13,多头出场,2019-06-04 13:30,离场信号,38.51,38358,1999986.12,-524210.4,-26.20,73230.95,3.66,-573484.94,-28.66,1172098.8,58.60
13,多头进场,2019-04-22 09:30,进场,52.14,38358,1999986.12,-524210.4,-26.20,73230.95,3.66,-573484.94,-28.66,1172098.8,58.60
14,多头出场,2019-07-30 13:30,离场信号,50.03,51746,1999982.9,587033.94,29.34,755726.5,37.77,-37539.65,-1.88,1759132.8,87.96
14,多头进场,2019-06-10 09:30,进场,38.65,51746,1999982.9,587033.94,29.34,755726.5,37.77,-37539.65,-1.88,1759132.8,87.96
15,多头出场,2019-09-18 13:30,离场信号,75.2,44208,1999969.92,1322341.9,66.09,1594666.8,79.70,-124140.3,-6.20,3081474.8,154.07
15,多头进场,2019-08-08 13:30,进场,45.24,44208,1999969.92,1322341.9,66.09,1594666.8,79.70,-124140.3,-6.20,3081474.8,154.07
16,多头出场,2019-09-26 13:30,离场信号,75.77,24032,1999943.04,-180566.73,-9.02,228224.98,11.41,-210599.34,-10.53,2900908,145.05
16,多头进场,2019-09-20 11:30,进场,83.22,24032,1999943.04,-180566.73,-9.02,228224.98,11.41,-210599.34,-10.53,2900908,145.05
17,多头出场,2019-11-21 13:30,离场信号,86.38,26849,1999982.01,317506.94,15.87,526245.9,26.30,-227137.06,-11.35,3218414.8,160.92
17,多头进场,2019-10-14 09:30,进场,74.49,26849,1999982.01,317506.94,15.87,526245.9,26.30,-227137.06,-11.35,3218414.8,160.92
18,多头出场,2019-12-20 13:30,离场信号,99.64,23073,1999967.64,297306.5,14.86,506575.28,25.32,-122856.16,-6.14,3515721.2,175.79
18,多头进场,2019-11-27 11:30,进场,86.68,23073,1999967.64,297306.5,14.86,506575.28,25.32,-122856.16,-6.14,3515721.2,175.79
19,多头出场,2020-02-11 13:30,离场信号,144.34,18239,1999906.35,630857.9,31.53,837464.5,41.86,-195410.1,-9.77,4146579.2,207.33
19,多头进场,2019-12-25 09:30,进场,109.65,18239,1999906.35,630857.9,31.53,837464.5,41.86,-195410.1,-9.77,4146579.2,207.33
20,多头出场,2020-03-02 13:30,离场信号,179.76,12444,1999875.24,235363.47,11.76,717218.9,35.85,-84050.31,-4.20,4381942.5,219.10
20,多头进场,2020-02-13 09:30,进场,160.71,12444,1999875.24,235363.47,11.76,717218.9,35.85,-84050.31,-4.20,4381942.5,219.10
21,多头出场,2020-05-22 13:30,离场信号,146.43,13058,1999963.28,-89445.16,-4.47,228237.33,11.41,-459396.94,-22.96,4292497.5,214.62
21,多头进场,2020-03-12 13:30,进场,153.16,13058,1999963.28,-89445.16,-4.47,228237.33,11.41,-459396.94,-22.96,4292497.5,214.62
22,多头出场,2020-06-17 13:30,离场信号,153.71,13692,1999990.44,102965.05,5.15,325343.44,16.26,-13670.48,-0.68,4395462.5,219.77
22,多头进场,2020-06-01 09:30,进场,146.07,13692,1999990.44,102965.05,5.15,325343.44,16.26,-13670.48,-0.68,4395462.5,219.77
23,多头出场,2020-07-16 13:30,离场信号,173.57,12081,1999888.74,95371.71,4.77,541636.94,27.07,-48761.53,-2.44,4490834.5,224.54
23,多头进场,2020-06-19 11:30,进场,165.54,12081,1999888.74,95371.71,4.77,541636.94,27.07,-48761.53,-2.44,4490834.5,224.54
24,多头出场,2020-09-08 13:30,离场信号,132.7,11544,1999882.56,-469406.47,-23.46,34986.45,1.75,-497769.16,-24.88,4021427.8,201.07
24,多头进场,2020-07-22 13:30,进场,173.24,11544,1999882.56,-469406.47,-23.46,34986.45,1.75,-497769.16,-24.88,4021427.8,201.07
25,多头出场,2020-11-23 13:30,离场信号,150.44,15794,1999994.22,374304.72,18.71,631907.6,31.58,-48497.88,-2.42,4395732.5,219.79
25,多头进场,2020-09-14 11:30,进场,126.63,15794,1999994.22,374304.72,18.71,631907.6,31.58,-48497.88,-2.42,4395732.5,219.79
26,多头出场,2020-12-08 13:30,离场信号,152.5,13521,1999891.11,60436.65,3.02,172268.84,8.61,-799.96,-0.04,4456169,222.81
26,多头进场,2020-12-01 13:30,进场,147.91,13521,1999891.11,60436.65,3.02,172268.84,8.61,-799.96,-0.04,4456169,222.81
