time,open,high,low,close,Volume
2023-12-28T07:00:00+08:00,16970.58,16970.58,16951.32,16966.94,12090
2023-12-28T09:00:00+08:00,16966.94,16988.82,16965.67,16985.93,16969
2023-12-28T11:00:00+08:00,16985.93,16986.07,16972.42,16974.43,11583
2023-12-28T13:00:00+08:00,16974.43,16985.57,16974.19,16983.92,13113
2023-12-28T15:00:00+08:00,16983.92,16991.8,16978.92,16981.68,22832
2023-12-28T17:00:00+08:00,16981.68,16989.32,16978.42,16981.07,20465
2023-12-28T19:00:00+08:00,16981.07,16995.07,16977.69,16987.07,15055
2023-12-28T21:00:00+08:00,16987.07,16998.31,16948.46,16958.33,86653
2023-12-28T23:00:00+08:00,16958.33,16978.22,16936.45,16946.47,109529
2023-12-29T01:00:00+08:00,16946.47,16970.84,16926.34,16948.72,80858
2023-12-29T03:00:00+08:00,16948.72,16962.71,16911.57,16924.33,85414
2023-12-29T05:00:00+08:00,16924.33,16935.07,16919.07,16923.25,8535
2023-12-29T07:00:00+08:00,16923.25,16944.51,16918.88,16944.25,13079
2023-12-29T09:00:00+08:00,16944.25,16944.76,16932.63,16932.76,18105
2023-12-29T11:00:00+08:00,16932.76,16939.4,16923.4,16928.63,9701
2023-12-29T13:00:00+08:00,16928.63,16946.4,16927.88,16945.14,11710
2023-12-29T15:00:00+08:00,16945.14,16966.4,16941.88,16953.02,19780
2023-12-29T17:00:00+08:00,16953.02,16957.89,16938.5,16947.5,19251
2023-12-29T19:00:00+08:00,16947.5,16956.02,16911.88,16920.38,20146
2023-12-29T21:00:00+08:00,16920.38,16943.53,16902.25,16932.29,67491
2023-12-29T23:00:00+08:00,16932.29,16941.79,16774.41,16812.79,184363
2023-12-30T01:00:00+08:00,16812.79,16872.53,16779.53,16859.66,123142
2023-12-30T03:00:00+08:00,16859.66,16886.05,16823.3,16855.04,122535
2023-12-30T05:00:00+08:00,16855.04,16858.15,16841.88,16847.2,9244
2024-01-02T13:00:00+08:00,16847.2,16864.42,16847.2,16849.3,11208
2024-01-02T15:00:00+08:00,16849.3,16881.43,16849.04,16871.92,28808
2024-01-02T17:00:00+08:00,16871.92,16873.3,16813.29,16816.06,29381
2024-01-02T19:00:00+08:00,16816.06,16821.68,16662.05,16668.16,54650
2024-01-02T21:00:00+08:00,16668.16,16722.56,16564.82,16609.06,148879
2024-01-02T23:00:00+08:00,16609.06,16634.07,16530.44,16623.32,219362
2024-01-03T01:00:00+08:00,16623.32,16632.44,16533.45,16541.56,123483
2024-01-03T03:00:00+08:00,16541.56,16571.08,16467.96,16566.2,137017
2024-01-03T05:00:00+08:00,16566.2,16581.31,16558.93,16576.49,11478
2024-01-03T07:00:00+08:00,16576.49,16584.72,16562.97,16564.61,11527
2024-01-03T09:00:00+08:00,16564.61,16569.24,16547.99,16551.09,16236
2024-01-03T11:00:00+08:00,16551.09,16557.24,16541.47,16542.86,9949
2024-01-03T13:00:00+08:00,16542.86,16564.98,16537.1,16559.74,13098
2024-01-03T15:00:00+08:00,16559.74,16577.36,16520.36,16522.1,32800
