entry_time,exit_time,entry_price,exit_price,pnl_pct,pnl_net,reason,mfe_pct,mae_pct,mfe_price,mae_price,cap_after
2025-05-12 08:00,2025-05-12 14:00,2516.5,2591.995,-3.0,-310.15,止损,1.1166,4.3513,2488.4,2626.0,9689.85
2025-05-19 10:00,2025-05-20 00:00,2429.8,2502.694,-3.0,-310.15,止损,3.2801,4.9469,2350.1,2550.0,9379.7
2025-05-22 06:00,2025-05-22 08:00,2505.4,2580.562,-3.0,-310.15,止损,0.0,4.0672,2505.4,2607.3,9069.55
2025-05-24 04:00,2025-05-26 04:00,2562.8,2525.5,1.4554,135.6167,信号离场,3.9215,0.5151,2462.3,2576.0,9205.1667
2025-05-30 08:00,2025-06-01 04:00,2631.8,2537.4,3.5869,348.8692,信号离场,5.8363,0.6497,2478.2,2648.9,9554.0359
2025-06-06 02:00,2025-06-06 22:00,2569.3,2517.914,2.0,190.1,保本止损,7.1887,0.0,2384.6,2569.3,9744.1359
2025-06-12 20:00,2025-06-13 08:00,2727.8,2455.02,10.0,990.5,止盈,10.0667,1.657,2453.2,2773.0,10734.6359
2025-06-17 14:00,2025-06-18 02:00,2578.1,2526.538,2.0,190.1,锁利止损,4.864,0.2482,2452.7,2584.5,10924.7359
2025-06-21 08:00,2025-06-22 20:00,2404.8,2164.32,10.0,990.5,止盈,10.0715,1.7132,2162.6,2446.0,11915.2359
2025-06-26 22:00,2025-06-29 02:00,2432.3,2443.3,-0.4522,-55.2473,信号离场,2.105,1.2087,2381.1,2461.7,11859.9886
2025-07-02 00:00,2025-07-02 20:00,2422.8,2443.9,-0.8709,-97.1329,信号离场,2.0555,1.4446,2373.0,2457.8,11762.8557
2025-07-05 00:00,2025-07-06 12:00,2499.9,2515.2,-0.612,-71.233,信号离场,1.012,1.196,2474.6,2529.8,11691.6227
2025-07-08 12:00,2025-07-08 22:00,2538.4,2588.9,-1.9894,-209.0437,信号离场,0.0,2.4898,2538.4,2601.6,11482.579
2025-07-13 04:00,2025-07-14 10:00,2941.7,3029.951,-3.0,-310.15,止损,0.5201,3.8583,2926.4,3055.2,11172.429
2025-07-19 20:00,2025-07-20 10:00,3553.6,3660.208,-3.0,-310.15,止损,0.7485,3.9762,3527.0,3694.9,10862.279
2025-07-29 12:00,2025-07-31 12:00,3792.3,3863.3,-1.8722,-197.3151,信号离场,3.7523,2.455,3650.0,3885.4,10664.9639
2025-08-01 04:00,2025-08-03 08:00,3738.1,3364.29,10.0,990.5,止盈,10.3288,0.0,3352.0,3738.1,11655.4639
2025-08-11 12:00,2025-08-12 22:00,4311.7,4441.051,-3.0,-310.15,止损,3.3212,3.9799,4168.5,4483.3,11345.3139
2025-08-15 04:00,2025-08-17 10:00,4540.7,4405.8,2.9709,287.2393,信号离场,3.821,2.8101,4367.2,4668.3,11632.5532
2025-08-18 12:00,2025-08-19 22:00,4321.7,4289.3,0.7497,65.008,信号离场,3.0821,1.511,4188.5,4387.0,11697.5612
2025-08-25 16:00,2025-08-26 20:00,4588.6,4496.828,2.0,190.1,保本止损,6.0541,2.0595,4310.8,4683.1,11887.6612
2025-08-28 12:00,2025-08-28 18:00,4541.1,4585.9,-0.9865,-108.7038,信号离场,0.0,2.0986,4541.1,4636.4,11778.9574
2025-08-29 04:00,2025-08-30 16:00,4434.8,4399.4,0.7982,69.8631,信号离场,4.0498,1.8129,4255.2,4515.2,11848.8205
2025-09-02 08:00,2025-09-02 20:00,4312.0,4346.1,-0.7908,-89.1212,信号离场,0.0,2.3817,4312.0,4414.7,11759.6993
2025-09-05 08:00,2025-09-05 14:00,4295.9,4424.777,-3.0,-310.15,止损,0.0163,3.0634,4295.2,4427.5,11449.5493
2025-09-06 04:00,2025-09-07 14:00,4328.8,4292.4,0.8409,74.13,信号离场,2.3586,0.0,4226.7,4328.8,11523.6793
2025-09-14 20:00,2025-09-17 08:00,4636.1,4501.4,2.9055,280.6912,信号离场,4.5361,0.8089,4425.8,4673.6,11804.3705
2025-09-19 20:00,2025-09-21 02:00,4515.4,4486.6,0.6378,53.8136,信号离场,1.692,0.6777,4439.0,4546.0,11858.1841
2025-09-22 12:00,2025-09-23 16:00,4304.8,4203.5,2.3532,225.4364,信号离场,9.1897,0.0,3909.2,4304.8,12083.6205
2025-09-25 20:00,2025-09-26 02:00,4001.3,3921.274,2.0,190.1,锁利止损,4.4885,0.4673,3821.7,4020.0,12273.7205
2025-10-04 20:00,2025-10-05 16:00,4484.1,4606.6,-2.7319,-283.3241,信号离场,0.9701,2.8969,4440.6,4614.0,11990.3964
2025-10-08 04:00,2025-10-09 06:00,4481.9,4528.0,-1.0286,-112.9096,信号离场,1.4771,1.7626,4415.7,4560.9,11877.4868
2025-10-09 18:00,2025-10-10 16:00,4335.6,4321.6,0.3229,22.3069,信号离场,1.5984,1.7714,4266.3,4412.4,11899.7937
2025-10-16 08:00,2025-10-16 22:00,3983.9,4020.1,-0.9087,-100.9112,信号离场,1.1471,2.5628,3938.2,4086.0,11798.8825
2025-10-21 20:00,2025-10-21 22:00,3890.1,4006.803,-3.0,-310.15,止损,0.6658,5.0359,3864.2,4086.0,11488.7325
2025-10-22 12:00,2025-10-23 16:00,3857.7,3879.1,-0.5547,-65.5012,信号离场,3.8261,0.9902,3710.1,3895.9,11423.2313
2025-10-29 00:00,2025-10-31 02:00,4096.0,3686.4,10.0,990.5,止盈,10.2295,1.3599,3677.0,4151.7,12413.7313
2025-11-03 16:00,2025-11-05 02:00,3712.8,3341.52,10.0,990.5,止盈,13.1437,0.8754,3224.8,3745.3,13404.2313
2025-11-11 14:00,2025-11-13 00:00,3547.5,3425.7,3.4334,333.5121,信号离场,4.1156,1.2516,3401.5,3591.9,13737.7434
2025-11-17 12:00,2025-11-18 22:00,3177.9,3049.6,4.0373,393.9276,信号离场,7.2627,1.4286,2947.1,3223.3,14131.671
2025-11-20 08:00,2025-11-20 14:00,3025.8,3035.8,-0.3305,-43.0656,信号离场,0.2545,1.2426,3018.1,3063.4,14088.6054
2025-11-21 08:00,2025-11-21 22:00,2834.4,2777.712,2.0,190.1,保本止损,7.5148,0.9914,2621.4,2862.5,14278.7054
2025-11-29 16:00,2025-12-01 00:00,3002.6,3027.5,-0.8293,-92.9696,信号离场,1.3788,1.6452,2961.2,3052.0,14185.7358
2025-12-06 04:00,2025-12-07 10:00,3036.7,3041.6,-0.1614,-26.144,信号离场,1.0439,1.034,3005.0,3068.1,14159.5918
2025-12-11 20:00,2025-12-12 18:00,3192.9,3253.3,-1.8917,-199.2643,信号离场,1.4626,2.659,3146.2,3277.8,13960.3275
2025-12-16 04:00,2025-12-17 06:00,2939.8,2950.0,-0.347,-44.7136,信号离场,2.0716,1.4049,2878.9,2981.1,13915.6139
2025-12-23 12:00,2025-12-25 06:00,2991.0,2950.2,1.3641,126.4774,信号离场,3.5172,0.0,2885.8,2991.0,14042.0913
2025-12-26 12:00,2025-12-28 08:00,2963.3,2946.9,0.5534,45.3714,信号离场,2.3454,0.9516,2893.8,2991.5,14087.4627
2025-12-30 12:00,2025-12-30 20:00,2951.0,2977.6,-0.9014,-100.184,信号离场,0.3863,1.7655,2939.6,3003.1,13987.2787
2026-01-08 00:00,2026-01-09 16:00,3164.0,3111.8,1.6498,155.0635,信号离场,3.4735,0.5689,3054.1,3182.0,14142.3422
2026-01-13 16:00,2026-01-13 20:00,3121.1,3133.8,-0.4069,-50.7111,信号离场,0.0,0.6472,3121.1,3141.3,14091.6311
2026-01-16 12:00,2026-01-18 02:00,3294.5,3318.6,-0.7315,-83.1888,信号离场,1.2384,1.0624,3253.7,3329.5,14008.4423
2026-01-19 10:00,2026-01-22 00:00,3206.1,2885.49,10.0,990.5,止盈,10.636,0.9201,2865.1,3235.6,14998.9423
2026-01-26 08:00,2026-01-26 14:00,2815.7,2900.171,-3.0,-310.15,止损,0.0,3.3384,2815.7,2909.7,14688.7923
2026-01-30 00:00,2026-01-31 16:00,2823.6,2679.8,5.0928,499.5336,信号离场,6.683,0.3719,2634.9,2834.1,15188.3259
2026-02-05 20:00,2026-02-06 04:00,2079.0,1871.1,10.0,990.5,止盈,12.2318,1.4526,1824.7,2109.2,16178.8259
2026-02-11 00:00,2026-02-12 04:00,2022.1,1981.658,2.0,190.1,锁利止损,5.9394,0.9792,1902.0,2041.9,16368.9259
2026-02-15 22:00,2026-02-17 08:00,2001.1,1997.5,0.1799,7.9991,信号离场,3.668,1.0394,1927.7,2021.9,16376.925
2026-03-06 12:00,2026-03-08 10:00,2083.1,1967.8,5.535,543.7787,信号离场,6.5719,0.168,1946.2,2086.6,16920.7037
2026-03-14 20:00,2026-03-15 16:00,2072.7,2105.1,-1.5632,-166.396,信号离场,0.2268,2.0263,2068.0,2114.7,16754.3077
2026-03-19 00:00,2026-03-20 16:00,2186.8,2150.2,1.6737,157.4515,信号离场,4.1247,2.099,2096.6,2232.7,16911.7592
2026-03-26 12:00,2026-03-28 16:00,2152.2,2006.3,6.7791,668.2499,信号离场,8.726,0.0,1964.4,2152.2,17580.0091
2026-04-02 12:00,2026-04-03 22:00,2054.7,2047.0,0.3748,27.4938,信号离场,1.8835,1.2313,2016.0,2080.0,17607.5029
2026-04-08 00:00,2026-04-08 04:00,2079.2,2141.576,-3.0,-310.15,止损,0.0,3.535,2079.2,2152.7,17297.3529
2026-04-09 20:00,2026-04-10 06:00,2178.8,2244.164,-3.0,-310.15,止损,1.0143,3.0751,2156.7,2245.8,16987.2029
2026-04-12 16:00,2026-04-14 02:00,2217.8,2223.9,-0.275,-37.5185,信号离场,1.9704,1.0776,2174.1,2241.7,16949.6844
